final_eval_ar_accuracy,final_eval_bg_accuracy,final_eval_de_accuracy,final_eval_el_accuracy,final_eval_es_accuracy,final_eval_fr_accuracy,final_eval_hi_accuracy,final_eval_ru_accuracy,final_eval_th_accuracy,final_eval_tr_accuracy,final_eval_ur_accuracy,final_eval_vi_accuracy,final_eval_zh_accuracy,final_eval_amh_accuracy,final_eval_ewe_accuracy,final_eval_hau_accuracy,final_eval_ibo_accuracy,final_eval_kin_accuracy,final_eval_lin_accuracy,final_eval_lug_accuracy,final_eval_orm_accuracy,final_eval_sna_accuracy,final_eval_sot_accuracy,final_eval_swa_accuracy,final_eval_twi_accuracy,final_eval_wol_accuracy,final_eval_xho_accuracy,final_eval_yor_accuracy,final_eval_zul_accuracy,final_eval_mya_accuracy,final_eval_ind_accuracy,final_eval_same_accuracy,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
69.47 \scriptsize $\pm$ 0.56,75.67 \scriptsize $\pm$ 0.36,74.90 \scriptsize $\pm$ 0.41,74.14 \scriptsize $\pm$ 0.19,77.50 \scriptsize $\pm$ 0.12,76.29 \scriptsize $\pm$ 0.38,68.48 \scriptsize $\pm$ 0.19,73.75 \scriptsize $\pm$ 0.32,70.18 \scriptsize $\pm$ 0.37,71.29 \scriptsize $\pm$ 0.30,64.77 \scriptsize $\pm$ 0.47,73.51 \scriptsize $\pm$ 0.06,71.98 \scriptsize $\pm$ 0.17,67.79 \scriptsize $\pm$ 1.44,37.50 \scriptsize $\pm$ 1.21,59.29 \scriptsize $\pm$ 0.37,36.92 \scriptsize $\pm$ 1.02,39.67 \scriptsize $\pm$ 1.69,34.17 \scriptsize $\pm$ 0.88,39.46 \scriptsize $\pm$ 0.64,47.00 \scriptsize $\pm$ 0.61,40.67 \scriptsize $\pm$ 0.87,39.33 \scriptsize $\pm$ 0.45,64.46 \scriptsize $\pm$ 0.28,36.75 \scriptsize $\pm$ 0.65,40.46 \scriptsize $\pm$ 1.73,48.42 \scriptsize $\pm$ 0.32,36.79 \scriptsize $\pm$ 0.60,46.38 \scriptsize $\pm$ 1.31,67.16 \scriptsize $\pm$ 0.38,67.79 \scriptsize $\pm$ 0.29,83.38 \scriptsize $\pm$ 0.30,58.60 \scriptsize $\pm$ 0.16,abla_most_script_joshi45,xnli,"[42, 66, 17, 23]","[58.67608925914925, 58.63105274036379, 58.36690668595784, 58.736161641194826]",0.001321657182617158,0.041833044007631145,0.0017423250462313185
69.64 \scriptsize $\pm$ 0.61,75.99 \scriptsize $\pm$ 0.37,75.46 \scriptsize $\pm$ 0.62,74.24 \scriptsize $\pm$ 0.25,77.96 \scriptsize $\pm$ 0.32,76.86 \scriptsize $\pm$ 0.20,68.30 \scriptsize $\pm$ 0.63,74.32 \scriptsize $\pm$ 0.24,70.10 \scriptsize $\pm$ 0.57,71.42 \scriptsize $\pm$ 0.59,64.16 \scriptsize $\pm$ 0.55,73.77 \scriptsize $\pm$ 0.38,72.39 \scriptsize $\pm$ 0.50,66.38 \scriptsize $\pm$ 0.52,36.00 \scriptsize $\pm$ 1.46,57.67 \scriptsize $\pm$ 0.68,38.75 \scriptsize $\pm$ 0.78,38.08 \scriptsize $\pm$ 0.91,35.79 \scriptsize $\pm$ 0.44,38.96 \scriptsize $\pm$ 1.41,47.50 \scriptsize $\pm$ 0.68,40.67 \scriptsize $\pm$ 1.35,38.00 \scriptsize $\pm$ 1.05,65.25 \scriptsize $\pm$ 1.11,38.79 \scriptsize $\pm$ 0.72,38.75 \scriptsize $\pm$ 1.19,48.92 \scriptsize $\pm$ 1.31,37.75 \scriptsize $\pm$ 0.52,46.67 \scriptsize $\pm$ 1.01,65.84 \scriptsize $\pm$ 0.59,68.16 \scriptsize $\pm$ 0.36,83.56 \scriptsize $\pm$ 0.19,58.63 \scriptsize $\pm$ 0.21,abla_most_script_seen_mbert,xnli,"[42, 66, 17, 23]","[58.572228030534106, 58.87555067478984, 58.365604999785965, 58.697515240965785]",0.00019707220153810254,0.03337726286133075,0.00023029033617765239
69.64 \scriptsize $\pm$ 0.61,75.99 \scriptsize $\pm$ 0.37,75.46 \scriptsize $\pm$ 0.62,74.24 \scriptsize $\pm$ 0.25,77.96 \scriptsize $\pm$ 0.32,76.86 \scriptsize $\pm$ 0.20,68.30 \scriptsize $\pm$ 0.63,74.32 \scriptsize $\pm$ 0.24,70.10 \scriptsize $\pm$ 0.57,71.42 \scriptsize $\pm$ 0.59,64.16 \scriptsize $\pm$ 0.55,73.77 \scriptsize $\pm$ 0.38,72.39 \scriptsize $\pm$ 0.50,66.38 \scriptsize $\pm$ 0.52,36.00 \scriptsize $\pm$ 1.46,57.67 \scriptsize $\pm$ 0.68,38.75 \scriptsize $\pm$ 0.78,38.08 \scriptsize $\pm$ 0.91,35.79 \scriptsize $\pm$ 0.44,38.96 \scriptsize $\pm$ 1.41,47.50 \scriptsize $\pm$ 0.68,40.67 \scriptsize $\pm$ 1.35,38.00 \scriptsize $\pm$ 1.05,65.25 \scriptsize $\pm$ 1.11,38.79 \scriptsize $\pm$ 0.72,38.75 \scriptsize $\pm$ 1.19,48.92 \scriptsize $\pm$ 1.31,37.75 \scriptsize $\pm$ 0.52,46.67 \scriptsize $\pm$ 1.01,65.84 \scriptsize $\pm$ 0.59,68.16 \scriptsize $\pm$ 0.36,83.56 \scriptsize $\pm$ 0.19,58.63 \scriptsize $\pm$ 0.21,abla_most_script_seen_xlmr,xnli,"[42, 66, 17, 23]","[58.572228030534106, 58.87555067478984, 58.365604999785965, 58.697515240965785]",0.00019707220153810254,0.03337726286133075,0.00023029033617765239
69.76 \scriptsize $\pm$ 0.29,76.14 \scriptsize $\pm$ 0.33,74.92 \scriptsize $\pm$ 0.19,74.10 \scriptsize $\pm$ 0.44,77.28 \scriptsize $\pm$ 0.33,76.74 \scriptsize $\pm$ 0.41,67.43 \scriptsize $\pm$ 0.22,73.91 \scriptsize $\pm$ 0.32,69.46 \scriptsize $\pm$ 0.48,71.61 \scriptsize $\pm$ 0.58,64.20 \scriptsize $\pm$ 0.25,73.38 \scriptsize $\pm$ 0.24,71.64 \scriptsize $\pm$ 0.33,65.88 \scriptsize $\pm$ 0.88,38.71 \scriptsize $\pm$ 0.93,58.17 \scriptsize $\pm$ 0.76,39.21 \scriptsize $\pm$ 0.64,47.88 \scriptsize $\pm$ 0.83,33.92 \scriptsize $\pm$ 0.97,40.83 \scriptsize $\pm$ 1.03,53.83 \scriptsize $\pm$ 0.83,44.83 \scriptsize $\pm$ 1.95,39.88 \scriptsize $\pm$ 1.02,64.67 \scriptsize $\pm$ 0.56,38.29 \scriptsize $\pm$ 0.80,40.46 \scriptsize $\pm$ 1.80,48.25 \scriptsize $\pm$ 1.35,43.33 \scriptsize $\pm$ 1.34,46.62 \scriptsize $\pm$ 2.01,66.29 \scriptsize $\pm$ 0.74,67.36 \scriptsize $\pm$ 0.33,83.30 \scriptsize $\pm$ 0.09,59.45 \scriptsize $\pm$ 0.25,abla_most_uriel_joshi2,xnli,"[42, 66, 17, 23]","[59.43733319219469, 59.73250441141845, 59.49645021284507, 59.11483341962189]",0.7135170526053278,0.657872131210428,0.11965652463666349
69.70 \scriptsize $\pm$ 0.39,76.14 \scriptsize $\pm$ 0.28,75.53 \scriptsize $\pm$ 0.30,74.24 \scriptsize $\pm$ 0.46,78.12 \scriptsize $\pm$ 0.14,77.08 \scriptsize $\pm$ 0.43,67.92 \scriptsize $\pm$ 0.17,74.39 \scriptsize $\pm$ 0.26,70.15 \scriptsize $\pm$ 0.76,71.78 \scriptsize $\pm$ 0.54,64.24 \scriptsize $\pm$ 0.49,73.82 \scriptsize $\pm$ 0.12,72.12 \scriptsize $\pm$ 0.36,66.33 \scriptsize $\pm$ 0.83,37.12 \scriptsize $\pm$ 0.85,59.83 \scriptsize $\pm$ 1.46,38.87 \scriptsize $\pm$ 0.32,39.54 \scriptsize $\pm$ 1.34,35.79 \scriptsize $\pm$ 1.23,39.21 \scriptsize $\pm$ 1.02,48.83 \scriptsize $\pm$ 1.62,39.42 \scriptsize $\pm$ 0.91,39.75 \scriptsize $\pm$ 0.59,63.83 \scriptsize $\pm$ 1.24,38.25 \scriptsize $\pm$ 0.93,39.83 \scriptsize $\pm$ 0.43,51.04 \scriptsize $\pm$ 0.39,37.79 \scriptsize $\pm$ 0.63,47.25 \scriptsize $\pm$ 1.64,66.40 \scriptsize $\pm$ 0.48,68.17 \scriptsize $\pm$ 0.60,83.68 \scriptsize $\pm$ 0.25,58.94 \scriptsize $\pm$ 0.22,abla_most_uriel_joshi3,xnli,"[42, 66, 17, 23]","[59.066647117962475, 59.194357096798356, 58.77494433050787, 58.7365078823586]",0.019235108384220826,0.03407266107592072,0.006507194778518278
69.17 \scriptsize $\pm$ 0.31,75.84 \scriptsize $\pm$ 0.17,75.22 \scriptsize $\pm$ 0.23,74.54 \scriptsize $\pm$ 0.47,77.69 \scriptsize $\pm$ 0.23,76.78 \scriptsize $\pm$ 0.38,67.45 \scriptsize $\pm$ 0.07,74.26 \scriptsize $\pm$ 0.36,69.40 \scriptsize $\pm$ 0.50,71.51 \scriptsize $\pm$ 0.26,64.11 \scriptsize $\pm$ 0.36,73.45 \scriptsize $\pm$ 0.25,72.19 \scriptsize $\pm$ 0.33,65.46 \scriptsize $\pm$ 0.25,36.83 \scriptsize $\pm$ 0.85,60.04 \scriptsize $\pm$ 1.17,38.50 \scriptsize $\pm$ 0.36,39.38 \scriptsize $\pm$ 1.07,35.54 \scriptsize $\pm$ 1.08,40.88 \scriptsize $\pm$ 0.60,47.87 \scriptsize $\pm$ 1.58,39.71 \scriptsize $\pm$ 1.24,38.67 \scriptsize $\pm$ 0.91,64.17 \scriptsize $\pm$ 0.76,37.50 \scriptsize $\pm$ 0.89,40.62 \scriptsize $\pm$ 0.69,50.29 \scriptsize $\pm$ 0.98,38.46 \scriptsize $\pm$ 0.44,46.96 \scriptsize $\pm$ 1.41,66.19 \scriptsize $\pm$ 0.57,68.21 \scriptsize $\pm$ 0.25,83.49 \scriptsize $\pm$ 0.27,58.76 \scriptsize $\pm$ 0.18,abla_most_uriel_joshi35,xnli,"[42, 66, 17, 23]","[58.88304715970205, 58.91599767957384, 58.715563092982926, 58.53179733027244]",0.009629696857935676,0.011035594502959465,0.007345570172281918
70.27 \scriptsize $\pm$ 0.62,76.00 \scriptsize $\pm$ 0.44,75.29 \scriptsize $\pm$ 0.64,74.36 \scriptsize $\pm$ 0.46,77.57 \scriptsize $\pm$ 0.29,76.44 \scriptsize $\pm$ 0.11,68.56 \scriptsize $\pm$ 0.74,74.24 \scriptsize $\pm$ 0.63,70.60 \scriptsize $\pm$ 0.65,71.43 \scriptsize $\pm$ 0.52,65.18 \scriptsize $\pm$ 0.34,73.61 \scriptsize $\pm$ 0.32,72.26 \scriptsize $\pm$ 0.64,66.96 \scriptsize $\pm$ 0.60,37.83 \scriptsize $\pm$ 1.13,59.83 \scriptsize $\pm$ 0.65,37.58 \scriptsize $\pm$ 0.52,39.58 \scriptsize $\pm$ 1.37,33.54 \scriptsize $\pm$ 1.89,39.33 \scriptsize $\pm$ 0.83,47.17 \scriptsize $\pm$ 1.71,39.04 \scriptsize $\pm$ 0.16,38.00 \scriptsize $\pm$ 0.49,65.04 \scriptsize $\pm$ 0.64,37.00 \scriptsize $\pm$ 0.36,40.12 \scriptsize $\pm$ 1.29,49.12 \scriptsize $\pm$ 1.10,37.25 \scriptsize $\pm$ 1.06,46.67 \scriptsize $\pm$ 1.05,67.01 \scriptsize $\pm$ 0.52,67.61 \scriptsize $\pm$ 0.47,83.38 \scriptsize $\pm$ 0.13,58.68 \scriptsize $\pm$ 0.24,abla_most_uriel_joshi45,xnli,"[42, 66, 17, 23]","[58.711784373612026, 58.990322722517426, 58.42485981455319, 58.60885032883296]",0.001739165177464152,0.023121880501646316,0.0006607210307086781
69.16 \scriptsize $\pm$ 0.19,75.88 \scriptsize $\pm$ 0.31,75.36 \scriptsize $\pm$ 0.40,74.28 \scriptsize $\pm$ 0.17,77.97 \scriptsize $\pm$ 0.44,76.69 \scriptsize $\pm$ 0.24,67.91 \scriptsize $\pm$ 0.59,74.02 \scriptsize $\pm$ 0.40,69.78 \scriptsize $\pm$ 0.61,71.47 \scriptsize $\pm$ 0.31,63.89 \scriptsize $\pm$ 0.57,73.73 \scriptsize $\pm$ 0.26,72.25 \scriptsize $\pm$ 0.36,64.71 \scriptsize $\pm$ 0.94,38.29 \scriptsize $\pm$ 0.81,58.71 \scriptsize $\pm$ 1.03,40.17 \scriptsize $\pm$ 1.82,39.83 \scriptsize $\pm$ 1.99,33.79 \scriptsize $\pm$ 1.11,39.25 \scriptsize $\pm$ 0.40,48.92 \scriptsize $\pm$ 0.59,40.83 \scriptsize $\pm$ 1.91,38.42 \scriptsize $\pm$ 1.11,64.21 \scriptsize $\pm$ 1.31,37.92 \scriptsize $\pm$ 1.42,39.71 \scriptsize $\pm$ 1.62,49.29 \scriptsize $\pm$ 0.50,46.04 \scriptsize $\pm$ 1.25,47.79 \scriptsize $\pm$ 0.69,66.28 \scriptsize $\pm$ 0.43,68.23 \scriptsize $\pm$ 0.60,83.41 \scriptsize $\pm$ 0.16,59.01 \scriptsize $\pm$ 0.39,abla_most_uriel_seen_mbert,xnli,"[42, 66, 17, 23]","[58.695013625563874, 59.56271087182204, 58.77628874288955, 58.98928692547879]",0.06163451386033289,0.15928104973077906,0.004898686147374057
68.94 \scriptsize $\pm$ 0.07,75.92 \scriptsize $\pm$ 0.42,75.30 \scriptsize $\pm$ 0.47,74.18 \scriptsize $\pm$ 0.29,77.68 \scriptsize $\pm$ 0.39,76.50 \scriptsize $\pm$ 0.32,67.70 \scriptsize $\pm$ 0.78,74.13 \scriptsize $\pm$ 0.44,69.26 \scriptsize $\pm$ 0.60,71.39 \scriptsize $\pm$ 0.39,64.30 \scriptsize $\pm$ 0.59,73.39 \scriptsize $\pm$ 0.34,71.93 \scriptsize $\pm$ 0.50,67.04 \scriptsize $\pm$ 1.18,36.79 \scriptsize $\pm$ 1.34,59.38 \scriptsize $\pm$ 0.76,37.92 \scriptsize $\pm$ 1.14,38.88 \scriptsize $\pm$ 0.48,34.83 \scriptsize $\pm$ 0.64,38.42 \scriptsize $\pm$ 0.91,56.46 \scriptsize $\pm$ 1.22,41.71 \scriptsize $\pm$ 2.90,39.12 \scriptsize $\pm$ 0.46,64.25 \scriptsize $\pm$ 0.17,37.92 \scriptsize $\pm$ 0.89,41.00 \scriptsize $\pm$ 0.76,48.96 \scriptsize $\pm$ 0.75,38.50 \scriptsize $\pm$ 1.05,47.50 \scriptsize $\pm$ 0.86,66.56 \scriptsize $\pm$ 0.76,67.64 \scriptsize $\pm$ 0.38,83.31 \scriptsize $\pm$ 0.10,58.96 \scriptsize $\pm$ 0.38,abla_most_uriel_seen_xlmr,xnli,"[42, 66, 17, 23]","[59.323580553370476, 59.173663229840585, 58.903527479223875, 58.45045005498387]",0.1331002354296738,0.021446184978292752,0.03633357203466589
69.62 \scriptsize $\pm$ 0.77,76.12 \scriptsize $\pm$ 0.79,75.00 \scriptsize $\pm$ 0.51,74.11 \scriptsize $\pm$ 0.63,77.26 \scriptsize $\pm$ 0.37,76.64 \scriptsize $\pm$ 0.34,67.56 \scriptsize $\pm$ 0.54,74.14 \scriptsize $\pm$ 0.67,69.64 \scriptsize $\pm$ 1.00,71.48 \scriptsize $\pm$ 0.65,63.96 \scriptsize $\pm$ 0.36,73.59 \scriptsize $\pm$ 0.59,71.72 \scriptsize $\pm$ 0.54,66.17 \scriptsize $\pm$ 1.60,47.33 \scriptsize $\pm$ 2.06,60.71 \scriptsize $\pm$ 1.38,39.29 \scriptsize $\pm$ 0.53,40.38 \scriptsize $\pm$ 1.33,34.17 \scriptsize $\pm$ 0.49,41.38 \scriptsize $\pm$ 2.94,53.37 \scriptsize $\pm$ 1.06,46.71 \scriptsize $\pm$ 1.08,39.88 \scriptsize $\pm$ 1.12,64.50 \scriptsize $\pm$ 0.76,42.71 \scriptsize $\pm$ 1.55,42.17 \scriptsize $\pm$ 0.81,52.54 \scriptsize $\pm$ 2.79,37.04 \scriptsize $\pm$ 0.57,47.88 \scriptsize $\pm$ 0.83,66.26 \scriptsize $\pm$ 0.69,67.33 \scriptsize $\pm$ 0.59,83.46 \scriptsize $\pm$ 0.20,59.82 \scriptsize $\pm$ 0.24,abla_most_uriel_unseen_mbert,xnli,"[42, 66, 17, 23]","[59.6528823218175, 60.133536295371705, 59.61368273841057, 59.86318875319068]",0.0032488342299647295,0.1391835450969805,0.6320591872656408
69.94 \scriptsize $\pm$ 0.36,76.32 \scriptsize $\pm$ 0.34,74.97 \scriptsize $\pm$ 0.52,74.62 \scriptsize $\pm$ 0.56,77.61 \scriptsize $\pm$ 0.39,76.55 \scriptsize $\pm$ 0.13,68.46 \scriptsize $\pm$ 0.66,74.25 \scriptsize $\pm$ 0.29,70.25 \scriptsize $\pm$ 0.66,71.97 \scriptsize $\pm$ 0.34,64.65 \scriptsize $\pm$ 0.30,73.82 \scriptsize $\pm$ 0.16,72.05 \scriptsize $\pm$ 0.15,67.21 \scriptsize $\pm$ 0.72,45.08 \scriptsize $\pm$ 1.95,60.42 \scriptsize $\pm$ 0.79,39.08 \scriptsize $\pm$ 0.97,39.25 \scriptsize $\pm$ 1.69,34.12 \scriptsize $\pm$ 1.58,41.00 \scriptsize $\pm$ 0.61,44.92 \scriptsize $\pm$ 1.50,43.71 \scriptsize $\pm$ 1.55,39.29 \scriptsize $\pm$ 0.46,64.42 \scriptsize $\pm$ 1.32,40.67 \scriptsize $\pm$ 1.27,42.29 \scriptsize $\pm$ 2.28,50.00 \scriptsize $\pm$ 0.62,45.04 \scriptsize $\pm$ 1.53,48.54 \scriptsize $\pm$ 0.85,67.16 \scriptsize $\pm$ 0.84,67.38 \scriptsize $\pm$ 0.25,83.43 \scriptsize $\pm$ 0.32,59.64 \scriptsize $\pm$ 0.45,abla_most_uriel_unseen_xlmr,xnli,"[42, 66, 17, 23]","[59.249962875856845, 60.26746239424636, 59.63402375878271, 59.40779525065151]",0.27284284630928607,0.297111347776336,0.35744803378875567
69.65 \scriptsize $\pm$ 0.82,76.42 \scriptsize $\pm$ 0.25,75.08 \scriptsize $\pm$ 0.21,74.67 \scriptsize $\pm$ 0.26,77.53 \scriptsize $\pm$ 0.46,76.57 \scriptsize $\pm$ 0.34,68.23 \scriptsize $\pm$ 0.49,74.22 \scriptsize $\pm$ 0.06,69.96 \scriptsize $\pm$ 0.30,71.67 \scriptsize $\pm$ 0.30,64.28 \scriptsize $\pm$ 0.49,73.57 \scriptsize $\pm$ 0.38,71.93 \scriptsize $\pm$ 0.58,66.46 \scriptsize $\pm$ 0.98,42.88 \scriptsize $\pm$ 4.70,60.33 \scriptsize $\pm$ 0.49,44.33 \scriptsize $\pm$ 6.97,42.21 \scriptsize $\pm$ 3.35,34.83 \scriptsize $\pm$ 0.71,43.21 \scriptsize $\pm$ 4.40,51.46 \scriptsize $\pm$ 3.54,42.88 \scriptsize $\pm$ 1.89,41.96 \scriptsize $\pm$ 3.16,63.79 \scriptsize $\pm$ 0.71,40.50 \scriptsize $\pm$ 2.16,42.00 \scriptsize $\pm$ 1.68,51.21 \scriptsize $\pm$ 2.83,39.88 \scriptsize $\pm$ 3.50,48.42 \scriptsize $\pm$ 1.95,66.28 \scriptsize $\pm$ 0.36,67.28 \scriptsize $\pm$ 1.10,83.21 \scriptsize $\pm$ 0.22,59.90 \scriptsize $\pm$ 0.04,abla_random_joshi2,xnli,"[42, 66, 17, 23]","[59.911066606732916, 59.85710382184692, 59.89075058662835, 59.95240818630836]",0.008373737418112774,0.10113393212148311,0.7941454244432842
69.89 \scriptsize $\pm$ 0.49,76.01 \scriptsize $\pm$ 0.09,75.41 \scriptsize $\pm$ 0.25,74.21 \scriptsize $\pm$ 0.53,77.88 \scriptsize $\pm$ 0.07,76.78 \scriptsize $\pm$ 0.39,67.85 \scriptsize $\pm$ 0.72,74.10 \scriptsize $\pm$ 0.48,69.83 \scriptsize $\pm$ 0.23,71.65 \scriptsize $\pm$ 0.49,64.68 \scriptsize $\pm$ 0.53,73.63 \scriptsize $\pm$ 0.43,72.09 \scriptsize $\pm$ 0.67,66.17 \scriptsize $\pm$ 0.41,37.67 \scriptsize $\pm$ 1.74,58.96 \scriptsize $\pm$ 0.77,38.33 \scriptsize $\pm$ 0.62,39.54 \scriptsize $\pm$ 1.26,35.50 \scriptsize $\pm$ 1.51,40.79 \scriptsize $\pm$ 0.84,48.25 \scriptsize $\pm$ 0.83,39.71 \scriptsize $\pm$ 0.97,38.42 \scriptsize $\pm$ 1.09,64.38 \scriptsize $\pm$ 0.57,39.58 \scriptsize $\pm$ 0.96,40.62 \scriptsize $\pm$ 0.64,49.79 \scriptsize $\pm$ 0.79,38.29 \scriptsize $\pm$ 1.01,47.46 \scriptsize $\pm$ 0.69,66.88 \scriptsize $\pm$ 0.58,67.87 \scriptsize $\pm$ 0.32,83.24 \scriptsize $\pm$ 0.08,58.92 \scriptsize $\pm$ 0.20,abla_random_joshi3,xnli,"[42, 66, 17, 23]","[59.115585267133284, 59.05647000235454, 58.70915315816089, 58.80071509126518]",0.015445474362685547,0.059744190212946566,0.0061490154339197646
70.06 \scriptsize $\pm$ 0.51,75.93 \scriptsize $\pm$ 0.71,75.20 \scriptsize $\pm$ 0.36,74.43 \scriptsize $\pm$ 0.31,77.62 \scriptsize $\pm$ 0.54,76.77 \scriptsize $\pm$ 0.65,68.21 \scriptsize $\pm$ 0.37,74.11 \scriptsize $\pm$ 0.42,70.28 \scriptsize $\pm$ 0.49,71.51 \scriptsize $\pm$ 0.52,64.93 \scriptsize $\pm$ 0.42,73.66 \scriptsize $\pm$ 0.36,72.14 \scriptsize $\pm$ 0.15,67.42 \scriptsize $\pm$ 0.79,36.33 \scriptsize $\pm$ 1.01,59.75 \scriptsize $\pm$ 0.62,37.50 \scriptsize $\pm$ 0.49,39.25 \scriptsize $\pm$ 0.74,34.29 \scriptsize $\pm$ 0.37,40.25 \scriptsize $\pm$ 1.61,46.79 \scriptsize $\pm$ 1.62,40.12 \scriptsize $\pm$ 0.95,38.62 \scriptsize $\pm$ 1.11,64.50 \scriptsize $\pm$ 0.65,37.08 \scriptsize $\pm$ 0.57,41.00 \scriptsize $\pm$ 1.25,49.12 \scriptsize $\pm$ 0.98,37.88 \scriptsize $\pm$ 0.96,46.83 \scriptsize $\pm$ 1.40,66.99 \scriptsize $\pm$ 0.57,68.01 \scriptsize $\pm$ 0.18,83.45 \scriptsize $\pm$ 0.20,58.75 \scriptsize $\pm$ 0.23,abla_random_joshi35,xnli,"[42, 66, 17, 23]","[58.87749409023774, 58.96081596859899, 58.44206560070209, 58.72676756072306]",0.003351670043527044,0.04221999632139262,0.0010730266267404978
70.25 \scriptsize $\pm$ 0.25,76.18 \scriptsize $\pm$ 0.34,75.72 \scriptsize $\pm$ 0.65,74.39 \scriptsize $\pm$ 0.51,77.84 \scriptsize $\pm$ 0.18,76.78 \scriptsize $\pm$ 0.13,68.72 \scriptsize $\pm$ 0.25,74.40 \scriptsize $\pm$ 0.40,70.52 \scriptsize $\pm$ 0.34,71.88 \scriptsize $\pm$ 0.42,65.18 \scriptsize $\pm$ 0.43,73.94 \scriptsize $\pm$ 0.55,71.94 \scriptsize $\pm$ 0.35,67.67 \scriptsize $\pm$ 1.11,36.71 \scriptsize $\pm$ 0.97,59.62 \scriptsize $\pm$ 0.72,37.29 \scriptsize $\pm$ 0.58,38.75 \scriptsize $\pm$ 1.64,34.33 \scriptsize $\pm$ 1.41,39.25 \scriptsize $\pm$ 0.74,46.58 \scriptsize $\pm$ 1.19,39.71 \scriptsize $\pm$ 1.14,38.12 \scriptsize $\pm$ 0.89,65.25 \scriptsize $\pm$ 1.88,36.50 \scriptsize $\pm$ 0.59,39.25 \scriptsize $\pm$ 1.75,48.46 \scriptsize $\pm$ 1.85,36.54 \scriptsize $\pm$ 0.97,46.08 \scriptsize $\pm$ 0.44,66.94 \scriptsize $\pm$ 0.12,68.08 \scriptsize $\pm$ 0.60,83.55 \scriptsize $\pm$ 0.29,58.64 \scriptsize $\pm$ 0.26,abla_random_joshi45,xnli,"[42, 66, 17, 23]","[58.85074823543262, 58.75999893644345, 58.27039578684453, 58.67052473471287]",0.005127296647754181,0.041616307082209696,0.0015607929943433527
69.65 \scriptsize $\pm$ 0.34,76.36 \scriptsize $\pm$ 0.25,75.30 \scriptsize $\pm$ 0.08,74.69 \scriptsize $\pm$ 0.23,77.85 \scriptsize $\pm$ 0.23,76.54 \scriptsize $\pm$ 0.37,68.17 \scriptsize $\pm$ 0.78,74.49 \scriptsize $\pm$ 0.49,70.03 \scriptsize $\pm$ 0.44,71.64 \scriptsize $\pm$ 0.64,64.70 \scriptsize $\pm$ 0.91,73.51 \scriptsize $\pm$ 0.47,72.06 \scriptsize $\pm$ 0.37,66.50 \scriptsize $\pm$ 1.60,36.71 \scriptsize $\pm$ 0.85,59.08 \scriptsize $\pm$ 2.18,38.12 \scriptsize $\pm$ 0.58,38.37 \scriptsize $\pm$ 1.36,34.83 \scriptsize $\pm$ 0.61,39.71 \scriptsize $\pm$ 0.98,48.04 \scriptsize $\pm$ 0.72,39.92 \scriptsize $\pm$ 0.78,39.04 \scriptsize $\pm$ 1.17,64.54 \scriptsize $\pm$ 1.20,38.46 \scriptsize $\pm$ 1.13,38.96 \scriptsize $\pm$ 1.57,47.21 \scriptsize $\pm$ 2.11,39.62 \scriptsize $\pm$ 3.61,46.71 \scriptsize $\pm$ 1.63,66.29 \scriptsize $\pm$ 0.34,67.69 \scriptsize $\pm$ 0.36,83.36 \scriptsize $\pm$ 0.39,58.69 \scriptsize $\pm$ 0.13,abla_random_seen_mbert,xnli,"[42, 66, 17, 23]","[58.76815512741273, 58.501505952572074, 58.721056880876326, 58.778040015812884]",0.012164554606875717,0.05893735808304181,0.011558594394611113
69.78 \scriptsize $\pm$ 0.27,75.73 \scriptsize $\pm$ 0.35,75.12 \scriptsize $\pm$ 0.36,74.05 \scriptsize $\pm$ 0.36,77.44 \scriptsize $\pm$ 0.37,76.44 \scriptsize $\pm$ 0.57,68.47 \scriptsize $\pm$ 0.29,73.75 \scriptsize $\pm$ 0.24,69.89 \scriptsize $\pm$ 0.53,71.45 \scriptsize $\pm$ 0.31,64.95 \scriptsize $\pm$ 0.30,73.55 \scriptsize $\pm$ 0.19,72.16 \scriptsize $\pm$ 0.32,66.75 \scriptsize $\pm$ 1.08,37.21 \scriptsize $\pm$ 0.77,59.38 \scriptsize $\pm$ 2.01,37.33 \scriptsize $\pm$ 1.68,39.54 \scriptsize $\pm$ 2.22,35.62 \scriptsize $\pm$ 0.72,39.62 \scriptsize $\pm$ 1.21,52.25 \scriptsize $\pm$ 4.12,39.54 \scriptsize $\pm$ 1.02,38.67 \scriptsize $\pm$ 0.53,64.33 \scriptsize $\pm$ 1.73,36.46 \scriptsize $\pm$ 1.26,40.58 \scriptsize $\pm$ 1.42,48.71 \scriptsize $\pm$ 3.28,37.54 \scriptsize $\pm$ 1.25,47.96 \scriptsize $\pm$ 1.66,66.91 \scriptsize $\pm$ 0.52,68.13 \scriptsize $\pm$ 0.48,83.45 \scriptsize $\pm$ 0.39,58.84 \scriptsize $\pm$ 0.19,abla_random_seen_xlmr,xnli,"[42, 66, 17, 23]","[59.0827726249913, 58.88607403156155, 58.71358514539286, 58.66303811612699]",0.019157674319669728,0.036479622364306206,0.01006598917695445
