final_eval_amh_accuracy,final_eval_ewe_accuracy,final_eval_hau_accuracy,final_eval_ibo_accuracy,final_eval_kin_accuracy,final_eval_lin_accuracy,final_eval_lug_accuracy,final_eval_orm_accuracy,final_eval_sna_accuracy,final_eval_sot_accuracy,final_eval_swa_accuracy,final_eval_twi_accuracy,final_eval_wol_accuracy,final_eval_xho_accuracy,final_eval_yor_accuracy,final_eval_zul_accuracy,final_eval_avg_accuracy,exp,task,seeds,list_final_avg,p_val_12_langs,p_val_34_langs
42.13 \scriptsize $\pm$ 14.19,55.03 \scriptsize $\pm$ 10.09,43.33 \scriptsize $\pm$ 10.47,36.60 \scriptsize $\pm$ 1.69,39.07 \scriptsize $\pm$ 1.23,44.87 \scriptsize $\pm$ 5.28,39.30 \scriptsize $\pm$ 0.51,40.53 \scriptsize $\pm$ 3.14,59.83 \scriptsize $\pm$ 11.11,37.57 \scriptsize $\pm$ 0.80,44.27 \scriptsize $\pm$ 11.02,46.00 \scriptsize $\pm$ 4.16,37.77 \scriptsize $\pm$ 1.12,45.40 \scriptsize $\pm$ 1.92,55.05 \scriptsize $\pm$ 8.69,76.27 \scriptsize $\pm$ 17.11,46.44 \scriptsize $\pm$ 0.85,least_uriel_en_20,afri-xnli,"[17, 23, 31, 42, 66]","[46.84170721057884, 46.949158323977045, 44.92708333333333, 46.74816382859281, 46.72790356786427]",-1,-1
42.10 \scriptsize $\pm$ 13.58,56.53 \scriptsize $\pm$ 10.66,43.03 \scriptsize $\pm$ 10.52,35.30 \scriptsize $\pm$ 1.13,38.80 \scriptsize $\pm$ 0.85,46.83 \scriptsize $\pm$ 5.83,38.83 \scriptsize $\pm$ 0.74,41.97 \scriptsize $\pm$ 6.58,59.90 \scriptsize $\pm$ 12.19,37.97 \scriptsize $\pm$ 0.97,43.73 \scriptsize $\pm$ 11.58,46.20 \scriptsize $\pm$ 5.21,37.93 \scriptsize $\pm$ 1.71,47.40 \scriptsize $\pm$ 0.92,54.69 \scriptsize $\pm$ 9.61,76.23 \scriptsize $\pm$ 16.71,46.72 \scriptsize $\pm$ 1.02,least_uriel_en_40,afri-xnli,"[17, 23, 31, 42, 66]","[46.95183071357284, 47.575058866641704, 45.03125, 46.57867078343313, 47.44052714882734]",-1,-1
43.20 \scriptsize $\pm$ 13.96,54.00 \scriptsize $\pm$ 9.88,42.70 \scriptsize $\pm$ 9.30,35.50 \scriptsize $\pm$ 1.91,39.13 \scriptsize $\pm$ 0.97,43.67 \scriptsize $\pm$ 4.38,39.30 \scriptsize $\pm$ 1.00,39.20 \scriptsize $\pm$ 4.00,59.33 \scriptsize $\pm$ 11.48,37.97 \scriptsize $\pm$ 0.83,44.07 \scriptsize $\pm$ 11.27,45.10 \scriptsize $\pm$ 4.62,37.80 \scriptsize $\pm$ 1.81,46.20 \scriptsize $\pm$ 1.35,54.21 \scriptsize $\pm$ 10.28,76.07 \scriptsize $\pm$ 16.53,46.09 \scriptsize $\pm$ 0.91,least_uriel_en_5,afri-xnli,"[17, 23, 31, 42, 66]","[46.22805950598802, 46.12148944298902, 44.56249999999999, 46.62627284493513, 46.91624563373254]",-1,-1
65.60 \scriptsize $\pm$ 0.95,36.43 \scriptsize $\pm$ 0.95,59.37 \scriptsize $\pm$ 0.98,38.93 \scriptsize $\pm$ 1.05,37.77 \scriptsize $\pm$ 0.19,36.13 \scriptsize $\pm$ 0.76,37.63 \scriptsize $\pm$ 1.74,47.97 \scriptsize $\pm$ 0.56,40.73 \scriptsize $\pm$ 1.44,38.40 \scriptsize $\pm$ 1.38,64.77 \scriptsize $\pm$ 0.85,39.17 \scriptsize $\pm$ 0.63,39.27 \scriptsize $\pm$ 1.09,49.30 \scriptsize $\pm$ 1.28,37.40 \scriptsize $\pm$ 0.43,47.00 \scriptsize $\pm$ 1.08,44.74 \scriptsize $\pm$ 0.41,most_distinct_script_10,afri-xnli,"[17, 23, 31, 42, 66]","[44.447916666666664, 45.15625, 44.20833333333334, 44.78125, 45.114583333333336]",-1,-1
65.20 \scriptsize $\pm$ 1.57,36.47 \scriptsize $\pm$ 1.08,59.40 \scriptsize $\pm$ 1.51,39.80 \scriptsize $\pm$ 1.10,37.43 \scriptsize $\pm$ 1.24,35.37 \scriptsize $\pm$ 0.58,38.07 \scriptsize $\pm$ 1.35,48.73 \scriptsize $\pm$ 1.48,40.23 \scriptsize $\pm$ 0.95,38.60 \scriptsize $\pm$ 0.40,65.23 \scriptsize $\pm$ 0.63,39.87 \scriptsize $\pm$ 1.12,39.00 \scriptsize $\pm$ 1.11,47.67 \scriptsize $\pm$ 2.40,36.90 \scriptsize $\pm$ 1.22,46.63 \scriptsize $\pm$ 0.82,44.66 \scriptsize $\pm$ 0.52,most_distinct_script_18,afri-xnli,"[17, 23, 31, 42, 66]","[45.510416666666664, 44.38541666666666, 44.125, 44.58333333333333, 44.708333333333336]",-1,-1
67.00 \scriptsize $\pm$ 0.66,36.10 \scriptsize $\pm$ 0.67,59.13 \scriptsize $\pm$ 1.16,39.30 \scriptsize $\pm$ 1.03,37.70 \scriptsize $\pm$ 0.98,35.80 \scriptsize $\pm$ 0.57,38.53 \scriptsize $\pm$ 1.42,47.53 \scriptsize $\pm$ 1.95,39.70 \scriptsize $\pm$ 0.82,38.80 \scriptsize $\pm$ 0.89,65.10 \scriptsize $\pm$ 1.25,38.73 \scriptsize $\pm$ 1.14,40.57 \scriptsize $\pm$ 1.28,47.67 \scriptsize $\pm$ 1.03,38.80 \scriptsize $\pm$ 1.21,45.57 \scriptsize $\pm$ 0.47,44.75 \scriptsize $\pm$ 0.34,most_distinct_script_5,afri-xnli,"[17, 23, 31, 42, 66]","[45.125, 44.979166666666664, 44.28125, 44.552083333333336, 44.82291666666667]",-1,-1
65.93 \scriptsize $\pm$ 0.47,37.63 \scriptsize $\pm$ 1.16,58.03 \scriptsize $\pm$ 1.37,38.50 \scriptsize $\pm$ 0.61,40.43 \scriptsize $\pm$ 1.61,33.80 \scriptsize $\pm$ 1.42,40.93 \scriptsize $\pm$ 0.82,55.97 \scriptsize $\pm$ 0.88,39.13 \scriptsize $\pm$ 2.28,38.67 \scriptsize $\pm$ 0.17,63.90 \scriptsize $\pm$ 0.82,38.50 \scriptsize $\pm$ 1.44,41.67 \scriptsize $\pm$ 1.89,49.00 \scriptsize $\pm$ 1.39,38.23 \scriptsize $\pm$ 1.85,48.07 \scriptsize $\pm$ 0.51,45.52 \scriptsize $\pm$ 0.51,most_family_en_10,afri-xnli,"[17, 23, 42, 66, 31]","[46.0, 45.364583333333336, 45.135416666666664, 45.0, 46.12500000000001]",-1,-1
66.27 \scriptsize $\pm$ 1.44,39.00 \scriptsize $\pm$ 0.53,60.27 \scriptsize $\pm$ 1.18,38.80 \scriptsize $\pm$ 1.04,41.10 \scriptsize $\pm$ 1.76,34.83 \scriptsize $\pm$ 1.05,40.27 \scriptsize $\pm$ 2.05,54.43 \scriptsize $\pm$ 1.13,38.73 \scriptsize $\pm$ 0.61,39.23 \scriptsize $\pm$ 1.09,63.77 \scriptsize $\pm$ 1.30,38.67 \scriptsize $\pm$ 1.17,42.13 \scriptsize $\pm$ 1.44,49.27 \scriptsize $\pm$ 1.49,39.03 \scriptsize $\pm$ 0.69,47.87 \scriptsize $\pm$ 1.51,45.85 \scriptsize $\pm$ 0.61,most_family_en_20,afri-xnli,"[17, 23, 42, 66, 31]","[46.479166666666664, 46.48958333333333, 45.08333333333333, 45.635416666666664, 45.58333333333333]",-1,-1
66.50 \scriptsize $\pm$ 0.94,38.47 \scriptsize $\pm$ 0.72,61.47 \scriptsize $\pm$ 0.77,37.97 \scriptsize $\pm$ 0.43,40.83 \scriptsize $\pm$ 1.93,34.17 \scriptsize $\pm$ 0.47,39.90 \scriptsize $\pm$ 1.25,54.13 \scriptsize $\pm$ 0.72,39.17 \scriptsize $\pm$ 0.31,38.93 \scriptsize $\pm$ 0.90,64.57 \scriptsize $\pm$ 1.69,37.87 \scriptsize $\pm$ 0.92,41.30 \scriptsize $\pm$ 0.94,48.80 \scriptsize $\pm$ 0.59,38.50 \scriptsize $\pm$ 0.59,47.33 \scriptsize $\pm$ 1.01,45.62 \scriptsize $\pm$ 0.26,most_family_en_25,afri-xnli,"[17, 23, 42, 66, 31]","[45.61458333333333, 45.72916666666668, 45.24999999999999, 45.53125, 45.968749999999986]",-1,-1
65.83 \scriptsize $\pm$ 1.28,37.33 \scriptsize $\pm$ 0.66,58.53 \scriptsize $\pm$ 0.52,38.37 \scriptsize $\pm$ 0.79,38.93 \scriptsize $\pm$ 0.92,33.50 \scriptsize $\pm$ 0.94,39.57 \scriptsize $\pm$ 0.79,55.47 \scriptsize $\pm$ 0.88,38.17 \scriptsize $\pm$ 1.27,39.63 \scriptsize $\pm$ 0.79,64.10 \scriptsize $\pm$ 0.93,37.27 \scriptsize $\pm$ 0.35,42.67 \scriptsize $\pm$ 2.42,49.07 \scriptsize $\pm$ 0.77,37.27 \scriptsize $\pm$ 0.72,46.33 \scriptsize $\pm$ 0.97,45.13 \scriptsize $\pm$ 0.35,most_family_en_5,afri-xnli,"[17, 23, 31, 42, 66]","[45.38541666666666, 45.05208333333333, 45.48958333333332, 44.583333333333336, 45.124999999999986]",-1,-1
67.23 \scriptsize $\pm$ 0.49,37.80 \scriptsize $\pm$ 0.66,59.37 \scriptsize $\pm$ 1.16,38.83 \scriptsize $\pm$ 0.71,40.23 \scriptsize $\pm$ 1.42,34.87 \scriptsize $\pm$ 0.97,38.83 \scriptsize $\pm$ 1.17,53.60 \scriptsize $\pm$ 0.65,44.73 \scriptsize $\pm$ 1.47,39.17 \scriptsize $\pm$ 1.35,63.73 \scriptsize $\pm$ 0.99,41.83 \scriptsize $\pm$ 2.13,41.43 \scriptsize $\pm$ 1.44,48.53 \scriptsize $\pm$ 0.84,38.00 \scriptsize $\pm$ 0.50,46.63 \scriptsize $\pm$ 1.50,45.93 \scriptsize $\pm$ 0.46,most_same_script_10,afri-xnli,"[31, 42, 66, 17, 23]","[45.92708333333333, 45.302083333333336, 46.104166666666664, 46.562500000000014, 45.739583333333336]",-1,-1
66.67 \scriptsize $\pm$ 0.72,37.43 \scriptsize $\pm$ 0.96,61.10 \scriptsize $\pm$ 1.35,37.33 \scriptsize $\pm$ 0.41,39.23 \scriptsize $\pm$ 1.16,36.00 \scriptsize $\pm$ 1.05,39.83 \scriptsize $\pm$ 1.11,48.93 \scriptsize $\pm$ 0.80,38.83 \scriptsize $\pm$ 0.77,38.60 \scriptsize $\pm$ 0.38,64.57 \scriptsize $\pm$ 1.01,37.40 \scriptsize $\pm$ 0.80,40.40 \scriptsize $\pm$ 0.85,48.53 \scriptsize $\pm$ 0.96,36.93 \scriptsize $\pm$ 0.15,46.90 \scriptsize $\pm$ 1.89,44.92 \scriptsize $\pm$ 0.44,most_same_script_20,afri-xnli,"[31, 42, 66, 17, 23]","[45.697916666666664, 44.791666666666664, 44.73958333333332, 44.572916666666664, 44.791666666666664]",-1,-1
66.77 \scriptsize $\pm$ 1.12,41.97 \scriptsize $\pm$ 2.32,60.63 \scriptsize $\pm$ 1.25,39.93 \scriptsize $\pm$ 0.67,41.87 \scriptsize $\pm$ 0.76,34.40 \scriptsize $\pm$ 0.55,41.57 \scriptsize $\pm$ 0.37,53.57 \scriptsize $\pm$ 1.21,43.10 \scriptsize $\pm$ 0.95,39.73 \scriptsize $\pm$ 1.21,65.33 \scriptsize $\pm$ 1.15,38.40 \scriptsize $\pm$ 0.43,41.47 \scriptsize $\pm$ 1.02,52.00 \scriptsize $\pm$ 0.77,44.13 \scriptsize $\pm$ 0.51,49.47 \scriptsize $\pm$ 1.43,47.15 \scriptsize $\pm$ 0.12,most_same_script_41,afri-xnli,"[31, 42, 66, 17, 23]","[47.166666666666664, 47.239583333333336, 47.177083333333336, 47.208333333333336, 46.9375]",-1,-1
66.83 \scriptsize $\pm$ 0.69,37.73 \scriptsize $\pm$ 0.83,58.03 \scriptsize $\pm$ 1.01,39.07 \scriptsize $\pm$ 0.28,39.83 \scriptsize $\pm$ 1.69,33.30 \scriptsize $\pm$ 0.81,40.03 \scriptsize $\pm$ 1.48,55.43 \scriptsize $\pm$ 1.04,39.00 \scriptsize $\pm$ 1.95,39.03 \scriptsize $\pm$ 1.44,62.80 \scriptsize $\pm$ 1.73,37.43 \scriptsize $\pm$ 0.98,41.07 \scriptsize $\pm$ 2.12,48.47 \scriptsize $\pm$ 0.79,37.63 \scriptsize $\pm$ 1.14,45.67 \scriptsize $\pm$ 0.77,45.09 \scriptsize $\pm$ 0.65,most_same_script_5,afri-xnli,"[31, 42, 66, 17, 23]","[45.35416666666666, 44.374999999999986, 44.479166666666664, 45.302083333333336, 45.91666666666667]",-1,-1
67.83 \scriptsize $\pm$ nan,36.67 \scriptsize $\pm$ nan,59.00 \scriptsize $\pm$ nan,38.33 \scriptsize $\pm$ nan,37.67 \scriptsize $\pm$ nan,35.17 \scriptsize $\pm$ nan,40.00 \scriptsize $\pm$ nan,53.50 \scriptsize $\pm$ nan,44.17 \scriptsize $\pm$ nan,39.33 \scriptsize $\pm$ nan,62.83 \scriptsize $\pm$ nan,37.83 \scriptsize $\pm$ nan,41.67 \scriptsize $\pm$ nan,50.00 \scriptsize $\pm$ nan,38.50 \scriptsize $\pm$ nan,46.83 \scriptsize $\pm$ nan,45.58 \scriptsize $\pm$ nan,most_uriel_10-seed_31,afri-xnli,[31],[45.583333333333336],-1,-1
68.00 \scriptsize $\pm$ nan,37.67 \scriptsize $\pm$ nan,56.50 \scriptsize $\pm$ nan,39.00 \scriptsize $\pm$ nan,41.50 \scriptsize $\pm$ nan,33.00 \scriptsize $\pm$ nan,39.50 \scriptsize $\pm$ nan,55.33 \scriptsize $\pm$ nan,42.83 \scriptsize $\pm$ nan,39.17 \scriptsize $\pm$ nan,61.17 \scriptsize $\pm$ nan,39.50 \scriptsize $\pm$ nan,45.00 \scriptsize $\pm$ nan,48.33 \scriptsize $\pm$ nan,38.67 \scriptsize $\pm$ nan,47.00 \scriptsize $\pm$ nan,45.76 \scriptsize $\pm$ nan,most_uriel_5-seed_31,afri-xnli,[31],[45.76041666666666],-1,-1
44.07 \scriptsize $\pm$ 12.17,54.23 \scriptsize $\pm$ 8.86,43.83 \scriptsize $\pm$ 8.52,35.63 \scriptsize $\pm$ 2.83,41.03 \scriptsize $\pm$ 1.66,49.60 \scriptsize $\pm$ 8.67,43.30 \scriptsize $\pm$ 1.83,42.63 \scriptsize $\pm$ 7.88,59.97 \scriptsize $\pm$ 7.31,38.00 \scriptsize $\pm$ 1.85,45.30 \scriptsize $\pm$ 10.01,47.37 \scriptsize $\pm$ 5.13,38.90 \scriptsize $\pm$ 2.72,48.43 \scriptsize $\pm$ 1.35,55.20 \scriptsize $\pm$ 8.69,76.25 \scriptsize $\pm$ 15.51,47.73 \scriptsize $\pm$ 0.67,most_uriel_en_10,afri-xnli,"[17, 23, 42, 66, 31]","[48.58709144211577, 47.56704559630738, 47.52944891467066, 48.154883592190615, 46.833333333333336]",-1,-1
44.53 \scriptsize $\pm$ 12.58,54.93 \scriptsize $\pm$ 8.80,44.57 \scriptsize $\pm$ 8.69,34.87 \scriptsize $\pm$ 2.80,41.03 \scriptsize $\pm$ 0.69,50.40 \scriptsize $\pm$ 7.89,42.53 \scriptsize $\pm$ 1.55,42.00 \scriptsize $\pm$ 7.67,60.00 \scriptsize $\pm$ 9.64,39.20 \scriptsize $\pm$ 0.98,46.23 \scriptsize $\pm$ 9.95,47.40 \scriptsize $\pm$ 4.39,44.20 \scriptsize $\pm$ 0.83,47.63 \scriptsize $\pm$ 0.63,56.89 \scriptsize $\pm$ 5.90,76.54 \scriptsize $\pm$ 15.21,48.31 \scriptsize $\pm$ 0.75,most_uriel_en_20,afri-xnli,"[17, 23, 42, 66, 31]","[48.49518541042914, 48.86648967689621, 48.79852014720558, 48.382073743138726, 47.010416666666664]",-1,-1
46.03 \scriptsize $\pm$ 12.26,56.43 \scriptsize $\pm$ 7.53,46.43 \scriptsize $\pm$ 8.05,35.10 \scriptsize $\pm$ 2.50,41.67 \scriptsize $\pm$ 1.34,49.80 \scriptsize $\pm$ 8.95,41.33 \scriptsize $\pm$ 1.70,42.17 \scriptsize $\pm$ 7.76,60.00 \scriptsize $\pm$ 10.12,38.60 \scriptsize $\pm$ 1.06,44.93 \scriptsize $\pm$ 10.00,48.57 \scriptsize $\pm$ 5.61,44.10 \scriptsize $\pm$ 0.86,50.27 \scriptsize $\pm$ 1.52,57.45 \scriptsize $\pm$ 5.38,77.11 \scriptsize $\pm$ 14.32,48.75 \scriptsize $\pm$ 0.71,most_uriel_en_40,afri-xnli,"[17, 23, 42, 66, 31]","[49.47128399451097, 48.805373627744515, 48.517821778318364, 49.2874543880988, 47.666666666666664]",-1,-1
66.90 \scriptsize $\pm$ 0.90,38.20 \scriptsize $\pm$ 0.52,58.37 \scriptsize $\pm$ 1.14,38.47 \scriptsize $\pm$ 0.57,40.03 \scriptsize $\pm$ 1.84,33.17 \scriptsize $\pm$ 0.72,40.53 \scriptsize $\pm$ 0.68,55.20 \scriptsize $\pm$ 1.42,39.27 \scriptsize $\pm$ 0.64,39.80 \scriptsize $\pm$ 0.69,63.23 \scriptsize $\pm$ 1.24,37.10 \scriptsize $\pm$ 0.78,41.27 \scriptsize $\pm$ 2.30,49.57 \scriptsize $\pm$ 1.03,38.00 \scriptsize $\pm$ 1.00,45.63 \scriptsize $\pm$ 0.87,45.30 \scriptsize $\pm$ 0.46,most_uriel_en_5,afri-xnli,"[17, 23, 31, 42, 66]","[45.87500000000001, 45.33333333333333, 44.802083333333336, 44.87500000000001, 45.59375]",-1,-1
67.00 \scriptsize $\pm$ nan,46.00 \scriptsize $\pm$ nan,62.83 \scriptsize $\pm$ nan,40.67 \scriptsize $\pm$ nan,42.83 \scriptsize $\pm$ nan,36.17 \scriptsize $\pm$ nan,43.00 \scriptsize $\pm$ nan,52.83 \scriptsize $\pm$ nan,46.33 \scriptsize $\pm$ nan,41.67 \scriptsize $\pm$ nan,66.00 \scriptsize $\pm$ nan,41.83 \scriptsize $\pm$ nan,42.83 \scriptsize $\pm$ nan,50.67 \scriptsize $\pm$ nan,45.83 \scriptsize $\pm$ nan,50.50 \scriptsize $\pm$ nan,48.56 \scriptsize $\pm$ nan,nllb_only-seed_31,afri-xnli,[31],[48.5625],-1,-1
