final_eval_ar_accuracy,final_eval_bg_accuracy,final_eval_de_accuracy,final_eval_el_accuracy,final_eval_es_accuracy,final_eval_fr_accuracy,final_eval_hi_accuracy,final_eval_ru_accuracy,final_eval_th_accuracy,final_eval_tr_accuracy,final_eval_ur_accuracy,final_eval_vi_accuracy,final_eval_zh_accuracy,final_eval_amh_accuracy,final_eval_ewe_accuracy,final_eval_hau_accuracy,final_eval_ibo_accuracy,final_eval_kin_accuracy,final_eval_lin_accuracy,final_eval_lug_accuracy,final_eval_orm_accuracy,final_eval_sna_accuracy,final_eval_sot_accuracy,final_eval_swa_accuracy,final_eval_twi_accuracy,final_eval_wol_accuracy,final_eval_xho_accuracy,final_eval_yor_accuracy,final_eval_zul_accuracy,final_eval_mya_accuracy,final_eval_ind_accuracy,final_eval_same_accuracy,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
64.60 \scriptsize $\pm$ 0.51,68.73 \scriptsize $\pm$ 0.39,70.31 \scriptsize $\pm$ 0.23,66.66 \scriptsize $\pm$ 0.19,73.22 \scriptsize $\pm$ 0.48,73.37 \scriptsize $\pm$ 0.25,59.75 \scriptsize $\pm$ 0.38,68.62 \scriptsize $\pm$ 0.42,55.65 \scriptsize $\pm$ 1.06,64.35 \scriptsize $\pm$ 0.95,57.80 \scriptsize $\pm$ 0.56,69.81 \scriptsize $\pm$ 0.43,69.30 \scriptsize $\pm$ 0.20,35.17 \scriptsize $\pm$ 0.36,37.83 \scriptsize $\pm$ 0.71,41.38 \scriptsize $\pm$ 1.38,38.62 \scriptsize $\pm$ 0.84,39.12 \scriptsize $\pm$ 0.92,34.00 \scriptsize $\pm$ 0.68,40.79 \scriptsize $\pm$ 0.71,40.83 \scriptsize $\pm$ 0.65,37.50 \scriptsize $\pm$ 0.87,41.17 \scriptsize $\pm$ 1.11,47.25 \scriptsize $\pm$ 0.97,37.00 \scriptsize $\pm$ 1.54,40.38 \scriptsize $\pm$ 1.57,39.54 \scriptsize $\pm$ 1.62,44.46 \scriptsize $\pm$ 1.12,39.33 \scriptsize $\pm$ 1.35,56.26 \scriptsize $\pm$ 0.56,65.12 \scriptsize $\pm$ 0.35,81.40 \scriptsize $\pm$ 0.33,53.10 \scriptsize $\pm$ 0.11,abla_most_script_joshi45,xnli,"[42, 66, 17, 23]","[53.220884220165566, 53.0293281566893, 53.17265017552028, 52.99122348466604]",0.0012483498334998652,0.15838724768115364,0.0030623820559134646
64.67 \scriptsize $\pm$ 0.47,67.81 \scriptsize $\pm$ 0.23,70.03 \scriptsize $\pm$ 0.70,65.30 \scriptsize $\pm$ 0.15,73.75 \scriptsize $\pm$ 0.33,73.04 \scriptsize $\pm$ 0.30,59.52 \scriptsize $\pm$ 0.34,67.91 \scriptsize $\pm$ 0.59,55.97 \scriptsize $\pm$ 0.89,62.50 \scriptsize $\pm$ 0.36,56.96 \scriptsize $\pm$ 0.59,68.90 \scriptsize $\pm$ 0.27,68.81 \scriptsize $\pm$ 0.28,35.42 \scriptsize $\pm$ 0.10,37.29 \scriptsize $\pm$ 1.07,40.67 \scriptsize $\pm$ 1.29,39.58 \scriptsize $\pm$ 0.65,37.08 \scriptsize $\pm$ 1.16,33.83 \scriptsize $\pm$ 0.64,40.67 \scriptsize $\pm$ 0.00,38.67 \scriptsize $\pm$ 1.08,37.92 \scriptsize $\pm$ 1.40,39.79 \scriptsize $\pm$ 0.95,48.17 \scriptsize $\pm$ 0.76,37.12 \scriptsize $\pm$ 1.55,38.83 \scriptsize $\pm$ 1.84,37.67 \scriptsize $\pm$ 1.37,45.25 \scriptsize $\pm$ 0.35,39.71 \scriptsize $\pm$ 0.91,57.25 \scriptsize $\pm$ 0.19,65.11 \scriptsize $\pm$ 0.30,81.20 \scriptsize $\pm$ 0.31,52.70 \scriptsize $\pm$ 0.19,abla_most_script_seen_mbert,xnli,"[42, 66, 17, 23]","[52.490642374767894, 52.727661801062766, 52.95213067497713, 52.630609173743665]",0.0013261774465686653,0.030775197840379666,0.003427569301488764
64.67 \scriptsize $\pm$ 0.47,67.81 \scriptsize $\pm$ 0.23,70.03 \scriptsize $\pm$ 0.70,65.30 \scriptsize $\pm$ 0.15,73.75 \scriptsize $\pm$ 0.33,73.04 \scriptsize $\pm$ 0.30,59.52 \scriptsize $\pm$ 0.34,67.91 \scriptsize $\pm$ 0.59,55.97 \scriptsize $\pm$ 0.89,62.50 \scriptsize $\pm$ 0.36,56.96 \scriptsize $\pm$ 0.59,68.90 \scriptsize $\pm$ 0.27,68.81 \scriptsize $\pm$ 0.28,35.42 \scriptsize $\pm$ 0.10,37.29 \scriptsize $\pm$ 1.07,40.67 \scriptsize $\pm$ 1.29,39.58 \scriptsize $\pm$ 0.65,37.08 \scriptsize $\pm$ 1.16,33.83 \scriptsize $\pm$ 0.64,40.67 \scriptsize $\pm$ 0.00,38.67 \scriptsize $\pm$ 1.08,37.92 \scriptsize $\pm$ 1.40,39.79 \scriptsize $\pm$ 0.95,48.17 \scriptsize $\pm$ 0.76,37.12 \scriptsize $\pm$ 1.55,38.83 \scriptsize $\pm$ 1.84,37.67 \scriptsize $\pm$ 1.37,45.25 \scriptsize $\pm$ 0.35,39.71 \scriptsize $\pm$ 0.91,57.25 \scriptsize $\pm$ 0.19,65.11 \scriptsize $\pm$ 0.30,81.20 \scriptsize $\pm$ 0.31,52.70 \scriptsize $\pm$ 0.19,abla_most_script_seen_xlmr,xnli,"[42, 66, 17, 23]","[52.490642374767894, 52.727661801062766, 52.95213067497713, 52.630609173743665]",0.0013261774465686653,0.030775197840379666,0.003427569301488764
64.92 \scriptsize $\pm$ 0.12,67.81 \scriptsize $\pm$ 0.64,69.63 \scriptsize $\pm$ 0.52,66.32 \scriptsize $\pm$ 0.53,73.10 \scriptsize $\pm$ 0.43,73.00 \scriptsize $\pm$ 0.31,59.87 \scriptsize $\pm$ 0.24,67.62 \scriptsize $\pm$ 0.31,53.97 \scriptsize $\pm$ 1.26,61.98 \scriptsize $\pm$ 0.35,58.18 \scriptsize $\pm$ 0.60,69.15 \scriptsize $\pm$ 0.56,68.95 \scriptsize $\pm$ 0.44,35.17 \scriptsize $\pm$ 0.24,39.46 \scriptsize $\pm$ 0.90,42.67 \scriptsize $\pm$ 1.38,40.58 \scriptsize $\pm$ 0.70,50.62 \scriptsize $\pm$ 2.36,33.21 \scriptsize $\pm$ 2.80,46.17 \scriptsize $\pm$ 1.57,54.08 \scriptsize $\pm$ 1.13,50.96 \scriptsize $\pm$ 0.91,42.79 \scriptsize $\pm$ 1.03,49.00 \scriptsize $\pm$ 1.27,37.88 \scriptsize $\pm$ 0.76,38.79 \scriptsize $\pm$ 1.29,41.00 \scriptsize $\pm$ 0.89,54.21 \scriptsize $\pm$ 1.28,41.33 \scriptsize $\pm$ 1.25,55.94 \scriptsize $\pm$ 0.69,64.37 \scriptsize $\pm$ 0.71,81.48 \scriptsize $\pm$ 0.20,54.82 \scriptsize $\pm$ 0.15,abla_most_uriel_joshi2,xnli,"[42, 66, 17, 23]","[54.90687550836664, 54.61313582620283, 54.79411276307976, 54.96351240213943]",0.025229467451544287,0.003942457197931215,0.5749268399951746
64.76 \scriptsize $\pm$ 0.71,67.47 \scriptsize $\pm$ 0.57,69.35 \scriptsize $\pm$ 0.42,65.75 \scriptsize $\pm$ 0.76,73.49 \scriptsize $\pm$ 0.30,72.89 \scriptsize $\pm$ 0.31,59.49 \scriptsize $\pm$ 0.78,67.71 \scriptsize $\pm$ 0.48,56.53 \scriptsize $\pm$ 0.31,62.29 \scriptsize $\pm$ 0.48,57.87 \scriptsize $\pm$ 0.42,69.12 \scriptsize $\pm$ 0.52,68.08 \scriptsize $\pm$ 0.49,35.29 \scriptsize $\pm$ 0.08,37.71 \scriptsize $\pm$ 1.14,42.88 \scriptsize $\pm$ 1.21,40.58 \scriptsize $\pm$ 1.19,39.42 \scriptsize $\pm$ 0.73,35.00 \scriptsize $\pm$ 1.65,41.21 \scriptsize $\pm$ 1.02,39.88 \scriptsize $\pm$ 0.55,38.00 \scriptsize $\pm$ 0.82,41.42 \scriptsize $\pm$ 1.48,47.25 \scriptsize $\pm$ 1.35,37.88 \scriptsize $\pm$ 0.72,40.17 \scriptsize $\pm$ 1.72,38.62 \scriptsize $\pm$ 1.80,46.54 \scriptsize $\pm$ 1.15,39.87 \scriptsize $\pm$ 2.35,54.94 \scriptsize $\pm$ 0.52,64.74 \scriptsize $\pm$ 0.64,80.89 \scriptsize $\pm$ 0.21,53.03 \scriptsize $\pm$ 0.36,abla_most_uriel_joshi3,xnli,"[42, 66, 17, 23]","[52.828855693438854, 52.90236341994296, 52.83369629708412, 53.567464099950236]",0.00020557319625268673,0.031437915109403504,0.0011670659609351681
64.71 \scriptsize $\pm$ 0.55,68.20 \scriptsize $\pm$ 0.43,69.35 \scriptsize $\pm$ 0.24,66.19 \scriptsize $\pm$ 0.67,73.56 \scriptsize $\pm$ 0.11,73.13 \scriptsize $\pm$ 0.47,59.29 \scriptsize $\pm$ 0.81,67.63 \scriptsize $\pm$ 0.37,54.90 \scriptsize $\pm$ 0.82,62.39 \scriptsize $\pm$ 0.65,57.67 \scriptsize $\pm$ 0.47,69.69 \scriptsize $\pm$ 0.57,69.40 \scriptsize $\pm$ 0.49,35.42 \scriptsize $\pm$ 0.10,38.38 \scriptsize $\pm$ 1.09,40.79 \scriptsize $\pm$ 1.91,40.04 \scriptsize $\pm$ 1.19,40.79 \scriptsize $\pm$ 1.66,34.08 \scriptsize $\pm$ 0.62,41.96 \scriptsize $\pm$ 1.05,40.58 \scriptsize $\pm$ 2.37,39.04 \scriptsize $\pm$ 1.01,42.04 \scriptsize $\pm$ 1.33,47.29 \scriptsize $\pm$ 0.77,38.25 \scriptsize $\pm$ 1.99,40.29 \scriptsize $\pm$ 1.91,38.75 \scriptsize $\pm$ 0.75,45.71 \scriptsize $\pm$ 2.36,40.12 \scriptsize $\pm$ 1.65,55.26 \scriptsize $\pm$ 0.70,64.70 \scriptsize $\pm$ 0.09,81.09 \scriptsize $\pm$ 0.46,53.15 \scriptsize $\pm$ 0.48,abla_most_uriel_joshi35,xnli,"[42, 66, 17, 23]","[52.48986101189042, 53.16085949749294, 53.60880241862121, 53.32508040219828]",0.00572435356628937,0.3080294265273183,0.013949295163229526
64.80 \scriptsize $\pm$ 0.31,68.68 \scriptsize $\pm$ 0.83,70.32 \scriptsize $\pm$ 0.34,66.30 \scriptsize $\pm$ 0.32,73.61 \scriptsize $\pm$ 0.40,73.34 \scriptsize $\pm$ 0.24,59.56 \scriptsize $\pm$ 0.33,68.54 \scriptsize $\pm$ 0.57,55.68 \scriptsize $\pm$ 0.45,64.89 \scriptsize $\pm$ 0.30,57.66 \scriptsize $\pm$ 0.69,70.35 \scriptsize $\pm$ 0.46,69.31 \scriptsize $\pm$ 0.34,35.17 \scriptsize $\pm$ 0.78,37.71 \scriptsize $\pm$ 1.04,41.46 \scriptsize $\pm$ 1.30,39.12 \scriptsize $\pm$ 0.96,38.67 \scriptsize $\pm$ 1.17,33.54 \scriptsize $\pm$ 1.32,41.96 \scriptsize $\pm$ 1.07,39.62 \scriptsize $\pm$ 2.01,37.67 \scriptsize $\pm$ 1.73,41.46 \scriptsize $\pm$ 2.20,47.75 \scriptsize $\pm$ 1.32,37.67 \scriptsize $\pm$ 0.79,40.58 \scriptsize $\pm$ 1.53,38.50 \scriptsize $\pm$ 0.91,44.46 \scriptsize $\pm$ 0.60,40.67 \scriptsize $\pm$ 0.98,55.89 \scriptsize $\pm$ 0.46,65.30 \scriptsize $\pm$ 0.62,81.52 \scriptsize $\pm$ 0.51,53.18 \scriptsize $\pm$ 0.28,abla_most_uriel_joshi45,xnli,"[42, 66, 17, 23]","[52.84532944834193, 53.43133179017301, 53.060591451145974, 53.38241471146179]",0.000672071030349715,0.03435470826079492,0.0073643552601676725
64.52 \scriptsize $\pm$ 0.66,67.73 \scriptsize $\pm$ 0.27,68.96 \scriptsize $\pm$ 0.58,66.57 \scriptsize $\pm$ 0.28,73.46 \scriptsize $\pm$ 0.24,72.93 \scriptsize $\pm$ 0.24,59.83 \scriptsize $\pm$ 0.67,67.76 \scriptsize $\pm$ 0.42,54.31 \scriptsize $\pm$ 1.07,61.84 \scriptsize $\pm$ 0.36,57.64 \scriptsize $\pm$ 0.80,69.69 \scriptsize $\pm$ 0.45,69.15 \scriptsize $\pm$ 0.51,35.33 \scriptsize $\pm$ 0.00,38.75 \scriptsize $\pm$ 1.36,41.79 \scriptsize $\pm$ 0.93,41.17 \scriptsize $\pm$ 0.49,39.67 \scriptsize $\pm$ 0.58,34.71 \scriptsize $\pm$ 1.10,42.46 \scriptsize $\pm$ 0.60,41.17 \scriptsize $\pm$ 0.71,42.54 \scriptsize $\pm$ 1.12,40.87 \scriptsize $\pm$ 1.63,55.92 \scriptsize $\pm$ 1.39,38.25 \scriptsize $\pm$ 1.55,40.46 \scriptsize $\pm$ 1.59,39.46 \scriptsize $\pm$ 1.32,55.83 \scriptsize $\pm$ 0.56,37.83 \scriptsize $\pm$ 2.00,56.01 \scriptsize $\pm$ 0.63,64.62 \scriptsize $\pm$ 0.28,81.19 \scriptsize $\pm$ 0.45,53.83 \scriptsize $\pm$ 0.33,abla_most_uriel_seen_mbert,xnli,"[42, 66, 17, 23]","[53.465721790333546, 53.96262928232008, 54.20906402677218, 53.66381086687216]",0.012392756892036377,0.25373638607697985,0.046817542263696645
64.15 \scriptsize $\pm$ 0.46,68.16 \scriptsize $\pm$ 0.52,69.33 \scriptsize $\pm$ 0.28,66.76 \scriptsize $\pm$ 0.29,73.01 \scriptsize $\pm$ 0.29,73.15 \scriptsize $\pm$ 0.39,59.97 \scriptsize $\pm$ 0.44,67.29 \scriptsize $\pm$ 0.38,54.29 \scriptsize $\pm$ 1.59,61.92 \scriptsize $\pm$ 0.65,57.54 \scriptsize $\pm$ 0.36,70.09 \scriptsize $\pm$ 0.44,69.44 \scriptsize $\pm$ 0.35,35.33 \scriptsize $\pm$ 0.14,37.96 \scriptsize $\pm$ 1.04,43.67 \scriptsize $\pm$ 1.47,41.62 \scriptsize $\pm$ 1.01,41.71 \scriptsize $\pm$ 1.23,34.38 \scriptsize $\pm$ 1.21,41.08 \scriptsize $\pm$ 0.78,55.75 \scriptsize $\pm$ 2.15,42.79 \scriptsize $\pm$ 1.59,42.33 \scriptsize $\pm$ 1.03,56.25 \scriptsize $\pm$ 1.52,38.08 \scriptsize $\pm$ 0.65,40.96 \scriptsize $\pm$ 1.02,41.50 \scriptsize $\pm$ 0.82,44.96 \scriptsize $\pm$ 1.71,40.04 \scriptsize $\pm$ 1.11,55.63 \scriptsize $\pm$ 1.27,64.99 \scriptsize $\pm$ 0.30,81.34 \scriptsize $\pm$ 0.27,54.23 \scriptsize $\pm$ 0.27,abla_most_uriel_seen_xlmr,xnli,"[42, 66, 17, 23]","[54.248394966099966, 54.474695715807, 53.861331960743385, 54.351923080782136]",0.0011245620873327979,0.002743509355272926,0.06867015818553793
64.61 \scriptsize $\pm$ 0.16,67.53 \scriptsize $\pm$ 0.48,69.18 \scriptsize $\pm$ 0.61,66.39 \scriptsize $\pm$ 0.43,73.37 \scriptsize $\pm$ 0.52,72.82 \scriptsize $\pm$ 0.67,60.34 \scriptsize $\pm$ 0.57,67.63 \scriptsize $\pm$ 0.52,53.33 \scriptsize $\pm$ 1.18,60.24 \scriptsize $\pm$ 0.31,58.39 \scriptsize $\pm$ 0.64,69.66 \scriptsize $\pm$ 0.27,68.87 \scriptsize $\pm$ 0.34,36.04 \scriptsize $\pm$ 0.76,51.71 \scriptsize $\pm$ 0.83,51.46 \scriptsize $\pm$ 0.98,40.33 \scriptsize $\pm$ 1.31,41.83 \scriptsize $\pm$ 0.72,33.33 \scriptsize $\pm$ 1.31,43.67 \scriptsize $\pm$ 1.86,53.75 \scriptsize $\pm$ 1.47,51.83 \scriptsize $\pm$ 1.11,40.62 \scriptsize $\pm$ 1.46,49.58 \scriptsize $\pm$ 2.10,44.92 \scriptsize $\pm$ 1.31,40.17 \scriptsize $\pm$ 0.79,46.71 \scriptsize $\pm$ 0.80,42.33 \scriptsize $\pm$ 0.14,42.96 \scriptsize $\pm$ 1.28,54.10 \scriptsize $\pm$ 0.52,64.36 \scriptsize $\pm$ 0.61,81.29 \scriptsize $\pm$ 0.37,55.10 \scriptsize $\pm$ 0.37,abla_most_uriel_unseen_mbert,xnli,"[42, 66, 17, 23]","[55.10640256016118, 55.6127928459435, 54.77205483470056, 54.92867733032593]",0.26537921116614194,0.002718135648445025,0.5780135795631441
64.76 \scriptsize $\pm$ 0.36,67.08 \scriptsize $\pm$ 0.56,68.61 \scriptsize $\pm$ 0.64,66.22 \scriptsize $\pm$ 0.57,73.26 \scriptsize $\pm$ 0.23,72.07 \scriptsize $\pm$ 0.23,59.58 \scriptsize $\pm$ 0.51,67.45 \scriptsize $\pm$ 0.58,52.98 \scriptsize $\pm$ 0.75,59.88 \scriptsize $\pm$ 0.44,56.89 \scriptsize $\pm$ 0.75,69.91 \scriptsize $\pm$ 0.59,68.72 \scriptsize $\pm$ 0.69,35.42 \scriptsize $\pm$ 0.17,50.92 \scriptsize $\pm$ 1.06,42.58 \scriptsize $\pm$ 0.91,40.42 \scriptsize $\pm$ 1.06,42.75 \scriptsize $\pm$ 1.39,33.71 \scriptsize $\pm$ 1.53,45.25 \scriptsize $\pm$ 1.44,41.50 \scriptsize $\pm$ 1.46,50.92 \scriptsize $\pm$ 1.52,41.12 \scriptsize $\pm$ 0.69,49.33 \scriptsize $\pm$ 2.09,45.04 \scriptsize $\pm$ 2.14,45.83 \scriptsize $\pm$ 2.33,44.92 \scriptsize $\pm$ 1.06,52.67 \scriptsize $\pm$ 1.05,47.67 \scriptsize $\pm$ 1.16,52.19 \scriptsize $\pm$ 0.92,64.70 \scriptsize $\pm$ 0.23,80.99 \scriptsize $\pm$ 0.43,54.85 \scriptsize $\pm$ 0.33,abla_most_uriel_unseen_xlmr,xnli,"[42, 66, 17, 23]","[54.522882184692286, 55.266267063727774, 54.64942350553585, 54.97567064262894]",0.05353045190694213,0.000856775828731216,0.9031464938598359
64.59 \scriptsize $\pm$ 0.27,67.80 \scriptsize $\pm$ 0.67,69.91 \scriptsize $\pm$ 0.38,66.81 \scriptsize $\pm$ 0.26,73.48 \scriptsize $\pm$ 0.34,72.84 \scriptsize $\pm$ 0.24,60.60 \scriptsize $\pm$ 0.27,67.81 \scriptsize $\pm$ 0.70,53.69 \scriptsize $\pm$ 0.37,60.91 \scriptsize $\pm$ 1.30,58.42 \scriptsize $\pm$ 0.23,69.77 \scriptsize $\pm$ 0.47,69.04 \scriptsize $\pm$ 0.74,36.08 \scriptsize $\pm$ 0.65,45.08 \scriptsize $\pm$ 7.26,42.58 \scriptsize $\pm$ 0.75,47.88 \scriptsize $\pm$ 6.75,43.96 \scriptsize $\pm$ 4.41,35.42 \scriptsize $\pm$ 0.88,48.58 \scriptsize $\pm$ 5.83,44.75 \scriptsize $\pm$ 5.86,45.62 \scriptsize $\pm$ 3.58,43.42 \scriptsize $\pm$ 1.85,50.54 \scriptsize $\pm$ 3.23,42.12 \scriptsize $\pm$ 4.65,44.25 \scriptsize $\pm$ 2.02,43.04 \scriptsize $\pm$ 2.53,46.25 \scriptsize $\pm$ 4.08,44.08 \scriptsize $\pm$ 1.04,54.12 \scriptsize $\pm$ 1.82,64.87 \scriptsize $\pm$ 0.46,81.08 \scriptsize $\pm$ 0.12,54.98 \scriptsize $\pm$ 0.64,abla_random_joshi2,xnli,"[42, 66, 17, 23]","[55.35412761942603, 55.52548547342313, 54.09266361713571, 54.955333134000085]",0.21332628000799816,0.011548521238017794,0.835899573119578
64.19 \scriptsize $\pm$ 0.70,68.82 \scriptsize $\pm$ 0.76,69.47 \scriptsize $\pm$ 0.35,66.00 \scriptsize $\pm$ 0.93,73.04 \scriptsize $\pm$ 0.21,72.71 \scriptsize $\pm$ 0.66,60.06 \scriptsize $\pm$ 0.10,67.33 \scriptsize $\pm$ 0.52,57.11 \scriptsize $\pm$ 1.80,62.32 \scriptsize $\pm$ 0.80,58.54 \scriptsize $\pm$ 0.77,69.04 \scriptsize $\pm$ 1.11,68.82 \scriptsize $\pm$ 0.34,35.50 \scriptsize $\pm$ 0.14,38.04 \scriptsize $\pm$ 0.91,43.08 \scriptsize $\pm$ 1.85,39.46 \scriptsize $\pm$ 1.02,39.33 \scriptsize $\pm$ 1.29,33.75 \scriptsize $\pm$ 1.00,43.71 \scriptsize $\pm$ 1.40,40.75 \scriptsize $\pm$ 0.83,38.58 \scriptsize $\pm$ 0.40,41.83 \scriptsize $\pm$ 0.96,48.71 \scriptsize $\pm$ 0.34,38.12 \scriptsize $\pm$ 1.22,39.42 \scriptsize $\pm$ 2.20,39.21 \scriptsize $\pm$ 0.95,45.83 \scriptsize $\pm$ 1.43,40.42 \scriptsize $\pm$ 1.72,54.88 \scriptsize $\pm$ 0.27,64.76 \scriptsize $\pm$ 0.42,81.28 \scriptsize $\pm$ 0.45,53.25 \scriptsize $\pm$ 0.25,abla_random_joshi3,xnli,"[42, 66, 17, 23]","[53.3905958190857, 52.91839870861494, 53.21291983726917, 53.493066731817855]",0.0007424287342339003,0.3323202754073876,0.00019761582079773517
64.67 \scriptsize $\pm$ 0.65,68.47 \scriptsize $\pm$ 0.48,70.21 \scriptsize $\pm$ 0.64,66.53 \scriptsize $\pm$ 0.26,73.35 \scriptsize $\pm$ 0.36,73.01 \scriptsize $\pm$ 0.52,59.23 \scriptsize $\pm$ 0.81,67.87 \scriptsize $\pm$ 0.15,55.32 \scriptsize $\pm$ 2.69,62.69 \scriptsize $\pm$ 2.11,58.01 \scriptsize $\pm$ 0.58,69.38 \scriptsize $\pm$ 0.53,69.21 \scriptsize $\pm$ 0.21,35.54 \scriptsize $\pm$ 0.16,38.33 \scriptsize $\pm$ 0.97,42.42 \scriptsize $\pm$ 1.17,39.71 \scriptsize $\pm$ 1.30,39.87 \scriptsize $\pm$ 0.77,33.58 \scriptsize $\pm$ 2.06,43.21 \scriptsize $\pm$ 1.81,41.46 \scriptsize $\pm$ 0.90,39.12 \scriptsize $\pm$ 0.75,42.17 \scriptsize $\pm$ 0.99,47.29 \scriptsize $\pm$ 2.05,37.58 \scriptsize $\pm$ 1.55,41.29 \scriptsize $\pm$ 1.74,39.54 \scriptsize $\pm$ 2.29,44.58 \scriptsize $\pm$ 2.12,41.46 \scriptsize $\pm$ 1.76,55.36 \scriptsize $\pm$ 0.36,64.91 \scriptsize $\pm$ 0.60,81.05 \scriptsize $\pm$ 0.12,53.33 \scriptsize $\pm$ 0.21,abla_random_joshi35,xnli,"[42, 66, 17, 23]","[53.183775796262694, 53.48225942551892, 53.105744526362834, 53.53332184491607]",0.00016410711441171535,0.03682862747509339,0.005199601286573146
64.93 \scriptsize $\pm$ 0.56,68.89 \scriptsize $\pm$ 0.38,70.96 \scriptsize $\pm$ 0.55,66.92 \scriptsize $\pm$ 0.44,73.72 \scriptsize $\pm$ 0.47,73.03 \scriptsize $\pm$ 0.36,59.73 \scriptsize $\pm$ 0.40,68.28 \scriptsize $\pm$ 0.91,54.77 \scriptsize $\pm$ 0.58,63.72 \scriptsize $\pm$ 1.95,57.86 \scriptsize $\pm$ 0.88,69.63 \scriptsize $\pm$ 0.41,69.08 \scriptsize $\pm$ 0.20,35.38 \scriptsize $\pm$ 0.16,38.92 \scriptsize $\pm$ 1.14,41.54 \scriptsize $\pm$ 0.63,39.42 \scriptsize $\pm$ 1.42,39.12 \scriptsize $\pm$ 1.31,34.46 \scriptsize $\pm$ 0.34,42.21 \scriptsize $\pm$ 0.96,40.46 \scriptsize $\pm$ 1.22,38.17 \scriptsize $\pm$ 0.91,40.62 \scriptsize $\pm$ 1.26,47.75 \scriptsize $\pm$ 1.85,38.92 \scriptsize $\pm$ 0.40,40.25 \scriptsize $\pm$ 0.42,38.58 \scriptsize $\pm$ 0.62,44.21 \scriptsize $\pm$ 1.38,40.50 \scriptsize $\pm$ 1.05,55.65 \scriptsize $\pm$ 0.63,65.19 \scriptsize $\pm$ 0.78,81.43 \scriptsize $\pm$ 0.21,53.26 \scriptsize $\pm$ 0.14,abla_random_joshi45,xnli,"[42, 66, 17, 23]","[53.3987996694279, 53.29391092145467, 53.05647961784206, 53.283584473144856]",0.0003277107865721345,0.20381302389211944,0.0031159897074441384
64.77 \scriptsize $\pm$ 0.97,68.37 \scriptsize $\pm$ 0.48,69.49 \scriptsize $\pm$ 0.78,66.34 \scriptsize $\pm$ 0.45,73.38 \scriptsize $\pm$ 0.53,72.78 \scriptsize $\pm$ 0.33,60.13 \scriptsize $\pm$ 0.50,67.67 \scriptsize $\pm$ 0.76,55.40 \scriptsize $\pm$ 0.88,62.04 \scriptsize $\pm$ 1.17,58.43 \scriptsize $\pm$ 0.17,69.32 \scriptsize $\pm$ 0.77,68.85 \scriptsize $\pm$ 0.35,35.38 \scriptsize $\pm$ 0.16,37.67 \scriptsize $\pm$ 0.89,42.33 \scriptsize $\pm$ 2.36,40.25 \scriptsize $\pm$ 0.22,39.88 \scriptsize $\pm$ 0.98,35.25 \scriptsize $\pm$ 1.96,42.75 \scriptsize $\pm$ 2.74,40.50 \scriptsize $\pm$ 1.79,40.79 \scriptsize $\pm$ 3.24,40.12 \scriptsize $\pm$ 1.29,48.71 \scriptsize $\pm$ 4.15,37.96 \scriptsize $\pm$ 0.28,40.50 \scriptsize $\pm$ 2.25,39.50 \scriptsize $\pm$ 1.39,47.67 \scriptsize $\pm$ 6.00,40.54 \scriptsize $\pm$ 2.08,54.94 \scriptsize $\pm$ 1.42,65.16 \scriptsize $\pm$ 1.10,81.19 \scriptsize $\pm$ 0.15,53.38 \scriptsize $\pm$ 0.35,abla_random_seen_mbert,xnli,"[42, 66, 17, 23]","[53.54777492601926, 53.28745357809849, 53.74305193232837, 52.928554335698564]",0.008157177663902932,0.7769598304373163,0.016608238903453518
64.59 \scriptsize $\pm$ 0.20,68.29 \scriptsize $\pm$ 0.64,69.99 \scriptsize $\pm$ 0.47,66.41 \scriptsize $\pm$ 0.52,73.23 \scriptsize $\pm$ 0.43,72.96 \scriptsize $\pm$ 0.28,59.74 \scriptsize $\pm$ 0.47,67.77 \scriptsize $\pm$ 0.24,55.15 \scriptsize $\pm$ 1.49,62.51 \scriptsize $\pm$ 1.78,58.77 \scriptsize $\pm$ 0.85,69.14 \scriptsize $\pm$ 0.93,69.02 \scriptsize $\pm$ 0.34,35.67 \scriptsize $\pm$ 0.93,39.12 \scriptsize $\pm$ 1.42,44.92 \scriptsize $\pm$ 5.72,40.17 \scriptsize $\pm$ 1.48,40.58 \scriptsize $\pm$ 2.20,35.00 \scriptsize $\pm$ 1.16,41.79 \scriptsize $\pm$ 0.55,48.12 \scriptsize $\pm$ 9.51,39.46 \scriptsize $\pm$ 1.40,41.92 \scriptsize $\pm$ 0.99,46.54 \scriptsize $\pm$ 1.19,37.25 \scriptsize $\pm$ 1.22,41.38 \scriptsize $\pm$ 2.20,42.00 \scriptsize $\pm$ 7.20,46.00 \scriptsize $\pm$ 0.72,42.29 \scriptsize $\pm$ 3.08,55.68 \scriptsize $\pm$ 1.63,65.57 \scriptsize $\pm$ 0.95,81.29 \scriptsize $\pm$ 0.27,53.82 \scriptsize $\pm$ 0.48,abla_random_seen_xlmr,xnli,"[42, 66, 17, 23]","[54.19497064851531, 54.27878994022677, 53.389320554601255, 53.428040534213075]",0.010222617410350871,0.2929380939329625,0.06270686543913065
