final_eval_amh_accuracy,final_eval_ewe_accuracy,final_eval_hau_accuracy,final_eval_ibo_accuracy,final_eval_kin_accuracy,final_eval_lin_accuracy,final_eval_lug_accuracy,final_eval_orm_accuracy,final_eval_sna_accuracy,final_eval_sot_accuracy,final_eval_swa_accuracy,final_eval_twi_accuracy,final_eval_wol_accuracy,final_eval_xho_accuracy,final_eval_yor_accuracy,final_eval_zul_accuracy,final_eval_avg_accuracy,exp,task,seeds,list_final_avg,p_val_12_langs,p_val_34_langs
38.00 \scriptsize $\pm$ 1.52,43.00 \scriptsize $\pm$ 2.04,39.33 \scriptsize $\pm$ 2.10,34.47 \scriptsize $\pm$ 2.74,42.93 \scriptsize $\pm$ 3.03,39.17 \scriptsize $\pm$ 2.15,40.93 \scriptsize $\pm$ 1.94,41.60 \scriptsize $\pm$ 1.53,45.77 \scriptsize $\pm$ 2.54,38.63 \scriptsize $\pm$ 0.75,40.07 \scriptsize $\pm$ 4.80,38.23 \scriptsize $\pm$ 1.36,42.93 \scriptsize $\pm$ 2.19,40.43 \scriptsize $\pm$ 0.79,51.40 \scriptsize $\pm$ 4.33,73.28 \scriptsize $\pm$ 18.23,43.14 \scriptsize $\pm$ 1.57,least_uriel_en_5,afri-xnli,"[17, 23, 31, 42, 66]","[43.70827875499001, 43.817552395209574, 40.38541666666666, 43.44842736402195, 44.32115066741517]",-1,-1
35.43 \scriptsize $\pm$ 0.15,37.73 \scriptsize $\pm$ 0.90,40.73 \scriptsize $\pm$ 0.89,39.20 \scriptsize $\pm$ 0.59,37.40 \scriptsize $\pm$ 2.08,35.47 \scriptsize $\pm$ 1.20,40.50 \scriptsize $\pm$ 1.85,38.33 \scriptsize $\pm$ 1.22,37.33 \scriptsize $\pm$ 1.30,39.53 \scriptsize $\pm$ 1.28,47.97 \scriptsize $\pm$ 1.06,37.00 \scriptsize $\pm$ 0.71,38.20 \scriptsize $\pm$ 1.71,36.27 \scriptsize $\pm$ 1.36,44.27 \scriptsize $\pm$ 0.80,37.53 \scriptsize $\pm$ 1.11,38.93 \scriptsize $\pm$ 0.59,most_distinct_script_10,afri-xnli,"[17, 23, 31, 42, 66]","[38.375, 39.708333333333336, 39.145833333333336, 38.29166666666667, 39.135416666666664]",-1,-1
35.50 \scriptsize $\pm$ 0.50,37.30 \scriptsize $\pm$ 0.75,40.43 \scriptsize $\pm$ 1.47,38.87 \scriptsize $\pm$ 1.16,38.13 \scriptsize $\pm$ 0.70,35.60 \scriptsize $\pm$ 1.62,40.73 \scriptsize $\pm$ 0.80,38.33 \scriptsize $\pm$ 0.72,37.47 \scriptsize $\pm$ 2.00,39.40 \scriptsize $\pm$ 1.57,48.30 \scriptsize $\pm$ 0.89,37.93 \scriptsize $\pm$ 1.30,37.73 \scriptsize $\pm$ 1.28,38.03 \scriptsize $\pm$ 1.23,43.73 \scriptsize $\pm$ 1.52,39.23 \scriptsize $\pm$ 2.34,39.17 \scriptsize $\pm$ 0.35,most_distinct_script_18,afri-xnli,"[17, 23, 31, 42, 66]","[39.46874999999999, 39.25, 39.17708333333332, 38.572916666666664, 39.385416666666664]",-1,-1
35.60 \scriptsize $\pm$ 0.30,37.43 \scriptsize $\pm$ 0.51,41.53 \scriptsize $\pm$ 0.75,38.33 \scriptsize $\pm$ 0.33,37.77 \scriptsize $\pm$ 2.05,34.80 \scriptsize $\pm$ 1.46,40.30 \scriptsize $\pm$ 1.66,38.57 \scriptsize $\pm$ 1.54,38.63 \scriptsize $\pm$ 1.03,38.90 \scriptsize $\pm$ 1.27,49.10 \scriptsize $\pm$ 0.57,37.13 \scriptsize $\pm$ 1.77,37.97 \scriptsize $\pm$ 0.59,37.30 \scriptsize $\pm$ 1.32,44.33 \scriptsize $\pm$ 1.35,39.20 \scriptsize $\pm$ 0.94,39.18 \scriptsize $\pm$ 0.46,most_distinct_script_5,afri-xnli,"[17, 23, 42, 66, 31]","[39.14583333333332, 39.53124999999999, 39.30208333333333, 38.40625, 39.52083333333333]",-1,-1
35.57 \scriptsize $\pm$ 0.35,39.20 \scriptsize $\pm$ 0.84,42.40 \scriptsize $\pm$ 0.96,41.03 \scriptsize $\pm$ 1.22,38.63 \scriptsize $\pm$ 1.27,33.23 \scriptsize $\pm$ 1.80,42.93 \scriptsize $\pm$ 2.07,55.17 \scriptsize $\pm$ 0.54,40.27 \scriptsize $\pm$ 2.61,41.57 \scriptsize $\pm$ 1.46,46.60 \scriptsize $\pm$ 1.77,37.93 \scriptsize $\pm$ 1.27,40.20 \scriptsize $\pm$ 0.98,38.63 \scriptsize $\pm$ 1.27,45.20 \scriptsize $\pm$ 1.36,39.67 \scriptsize $\pm$ 1.17,41.14 \scriptsize $\pm$ 0.52,most_family_en_10,afri-xnli,"[17, 23, 42, 66, 31]","[41.58333333333333, 40.802083333333336, 41.67708333333333, 41.197916666666664, 40.4375]",-1,-1
35.53 \scriptsize $\pm$ 0.38,39.87 \scriptsize $\pm$ 1.38,53.00 \scriptsize $\pm$ 1.83,39.57 \scriptsize $\pm$ 0.90,41.83 \scriptsize $\pm$ 1.40,33.97 \scriptsize $\pm$ 0.59,42.27 \scriptsize $\pm$ 1.27,51.97 \scriptsize $\pm$ 1.69,37.73 \scriptsize $\pm$ 0.38,42.57 \scriptsize $\pm$ 0.63,45.63 \scriptsize $\pm$ 0.46,39.33 \scriptsize $\pm$ 1.07,39.60 \scriptsize $\pm$ 1.46,37.67 \scriptsize $\pm$ 1.25,45.43 \scriptsize $\pm$ 0.85,39.87 \scriptsize $\pm$ 1.91,41.61 \scriptsize $\pm$ 0.40,most_family_en_20,afri-xnli,"[17, 23, 42, 66, 31]","[41.27083333333332, 42.02083333333333, 41.92708333333333, 41.11458333333333, 41.73958333333333]",-1,-1
35.63 \scriptsize $\pm$ 0.27,39.40 \scriptsize $\pm$ 0.92,51.73 \scriptsize $\pm$ 1.62,41.97 \scriptsize $\pm$ 0.41,43.00 \scriptsize $\pm$ 1.21,32.93 \scriptsize $\pm$ 1.18,43.33 \scriptsize $\pm$ 1.62,52.40 \scriptsize $\pm$ 1.64,40.40 \scriptsize $\pm$ 0.89,41.93 \scriptsize $\pm$ 1.40,46.97 \scriptsize $\pm$ 1.30,39.77 \scriptsize $\pm$ 1.78,41.63 \scriptsize $\pm$ 1.39,37.83 \scriptsize $\pm$ 1.52,44.30 \scriptsize $\pm$ 0.41,40.10 \scriptsize $\pm$ 1.89,42.08 \scriptsize $\pm$ 0.23,most_family_en_25,afri-xnli,"[17, 23, 42, 66, 31]","[42.33333333333333, 41.93749999999999, 42.34375, 41.92708333333333, 41.87499999999999]",-1,-1
35.43 \scriptsize $\pm$ 0.15,40.40 \scriptsize $\pm$ 1.33,43.07 \scriptsize $\pm$ 1.34,41.57 \scriptsize $\pm$ 2.10,40.27 \scriptsize $\pm$ 0.77,33.43 \scriptsize $\pm$ 1.00,44.30 \scriptsize $\pm$ 0.40,57.40 \scriptsize $\pm$ 1.59,41.00 \scriptsize $\pm$ 1.89,42.70 \scriptsize $\pm$ 2.28,48.07 \scriptsize $\pm$ 1.50,38.67 \scriptsize $\pm$ 1.51,39.67 \scriptsize $\pm$ 1.18,39.67 \scriptsize $\pm$ 0.92,45.43 \scriptsize $\pm$ 2.48,40.73 \scriptsize $\pm$ 1.53,41.99 \scriptsize $\pm$ 0.49,most_family_en_5,afri-xnli,"[17, 23, 31, 42, 66]","[41.70833333333333, 41.76041666666666, 42.21874999999999, 42.73958333333333, 41.510416666666664]",-1,-1
35.50 \scriptsize $\pm$ 0.20,41.43 \scriptsize $\pm$ 0.73,44.33 \scriptsize $\pm$ 1.26,40.30 \scriptsize $\pm$ 1.82,42.53 \scriptsize $\pm$ 0.79,33.50 \scriptsize $\pm$ 1.03,44.83 \scriptsize $\pm$ 1.09,55.30 \scriptsize $\pm$ 1.01,54.03 \scriptsize $\pm$ 1.06,42.20 \scriptsize $\pm$ 1.73,50.70 \scriptsize $\pm$ 1.50,47.57 \scriptsize $\pm$ 2.23,39.87 \scriptsize $\pm$ 1.25,41.80 \scriptsize $\pm$ 1.08,43.87 \scriptsize $\pm$ 1.16,41.77 \scriptsize $\pm$ 0.45,43.72 \scriptsize $\pm$ 0.10,most_same_script_10,afri-xnli,"[31, 42, 66, 17, 23]","[43.75, 43.572916666666664, 43.822916666666664, 43.791666666666664, 43.666666666666664]",-1,-1
35.40 \scriptsize $\pm$ 0.19,39.60 \scriptsize $\pm$ 1.09,52.77 \scriptsize $\pm$ 0.63,40.73 \scriptsize $\pm$ 0.89,42.57 \scriptsize $\pm$ 1.64,34.07 \scriptsize $\pm$ 0.85,43.30 \scriptsize $\pm$ 1.09,42.23 \scriptsize $\pm$ 1.29,40.33 \scriptsize $\pm$ 1.23,42.13 \scriptsize $\pm$ 0.92,46.43 \scriptsize $\pm$ 1.77,38.87 \scriptsize $\pm$ 1.64,44.50 \scriptsize $\pm$ 1.64,39.77 \scriptsize $\pm$ 1.91,44.53 \scriptsize $\pm$ 1.31,41.43 \scriptsize $\pm$ 1.50,41.79 \scriptsize $\pm$ 0.27,most_same_script_20,afri-xnli,"[31, 42, 66, 17, 23]","[41.8125, 41.822916666666664, 41.333333333333336, 41.999999999999986, 41.98958333333333]",-1,-1
35.47 \scriptsize $\pm$ 0.27,50.30 \scriptsize $\pm$ 1.35,47.90 \scriptsize $\pm$ 1.90,49.13 \scriptsize $\pm$ 2.03,49.37 \scriptsize $\pm$ 0.78,34.07 \scriptsize $\pm$ 0.89,50.17 \scriptsize $\pm$ 0.89,50.27 \scriptsize $\pm$ 0.62,47.07 \scriptsize $\pm$ 1.82,43.83 \scriptsize $\pm$ 1.70,49.93 \scriptsize $\pm$ 1.08,40.93 \scriptsize $\pm$ 0.43,41.77 \scriptsize $\pm$ 0.43,44.37 \scriptsize $\pm$ 0.74,49.50 \scriptsize $\pm$ 0.91,46.50 \scriptsize $\pm$ 1.61,45.66 \scriptsize $\pm$ 0.35,most_same_script_41,afri-xnli,"[31, 42, 66, 17, 23]","[45.40624999999999, 46.21875, 45.645833333333336, 45.69791666666667, 45.333333333333336]",-1,-1
35.57 \scriptsize $\pm$ 0.73,41.57 \scriptsize $\pm$ 1.76,43.43 \scriptsize $\pm$ 1.62,42.63 \scriptsize $\pm$ 2.14,41.03 \scriptsize $\pm$ 0.97,34.10 \scriptsize $\pm$ 1.03,45.00 \scriptsize $\pm$ 1.63,56.87 \scriptsize $\pm$ 1.44,40.30 \scriptsize $\pm$ 1.02,43.73 \scriptsize $\pm$ 1.63,47.80 \scriptsize $\pm$ 0.92,38.90 \scriptsize $\pm$ 2.09,41.43 \scriptsize $\pm$ 1.12,39.17 \scriptsize $\pm$ 1.42,43.00 \scriptsize $\pm$ 1.77,40.73 \scriptsize $\pm$ 1.71,42.20 \scriptsize $\pm$ 0.82,most_same_script_5,afri-xnli,"[31, 42, 66, 17, 23]","[42.791666666666664, 42.84374999999999, 41.239583333333336, 41.385416666666664, 42.760416666666664]",-1,-1
35.33 \scriptsize $\pm$ nan,38.50 \scriptsize $\pm$ nan,43.50 \scriptsize $\pm$ nan,40.50 \scriptsize $\pm$ nan,42.83 \scriptsize $\pm$ nan,33.50 \scriptsize $\pm$ nan,43.83 \scriptsize $\pm$ nan,56.83 \scriptsize $\pm$ nan,54.50 \scriptsize $\pm$ nan,41.83 \scriptsize $\pm$ nan,50.67 \scriptsize $\pm$ nan,39.33 \scriptsize $\pm$ nan,42.33 \scriptsize $\pm$ nan,40.67 \scriptsize $\pm$ nan,46.00 \scriptsize $\pm$ nan,41.50 \scriptsize $\pm$ nan,43.23 \scriptsize $\pm$ nan,most_uriel_10-seed_31,afri-xnli,[31],[43.22916666666667],-1,-1
35.50 \scriptsize $\pm$ nan,39.33 \scriptsize $\pm$ nan,44.67 \scriptsize $\pm$ nan,42.67 \scriptsize $\pm$ nan,42.17 \scriptsize $\pm$ nan,33.50 \scriptsize $\pm$ nan,44.67 \scriptsize $\pm$ nan,59.50 \scriptsize $\pm$ nan,42.33 \scriptsize $\pm$ nan,42.00 \scriptsize $\pm$ nan,50.00 \scriptsize $\pm$ nan,38.00 \scriptsize $\pm$ nan,40.67 \scriptsize $\pm$ nan,38.83 \scriptsize $\pm$ nan,45.17 \scriptsize $\pm$ nan,41.17 \scriptsize $\pm$ nan,42.51 \scriptsize $\pm$ nan,most_uriel_5-seed_31,afri-xnli,[31],[42.51041666666667],-1,-1
38.80 \scriptsize $\pm$ 2.27,42.97 \scriptsize $\pm$ 2.36,43.57 \scriptsize $\pm$ 0.95,35.10 \scriptsize $\pm$ 3.85,44.00 \scriptsize $\pm$ 1.30,51.27 \scriptsize $\pm$ 9.41,51.80 \scriptsize $\pm$ 2.25,44.70 \scriptsize $\pm$ 6.58,50.93 \scriptsize $\pm$ 1.99,39.70 \scriptsize $\pm$ 2.66,41.73 \scriptsize $\pm$ 5.63,40.00 \scriptsize $\pm$ 1.68,42.90 \scriptsize $\pm$ 2.40,41.33 \scriptsize $\pm$ 2.25,52.16 \scriptsize $\pm$ 5.41,73.58 \scriptsize $\pm$ 17.38,45.91 \scriptsize $\pm$ 1.53,most_uriel_en_10,afri-xnli,"[17, 23, 42, 66, 31]","[46.165832397704584, 46.91664132672155, 47.094716816367274, 46.08477576097803, 43.28125]",-1,-1
37.73 \scriptsize $\pm$ 1.34,42.60 \scriptsize $\pm$ 2.27,42.27 \scriptsize $\pm$ 0.92,35.37 \scriptsize $\pm$ 3.18,49.77 \scriptsize $\pm$ 3.72,48.50 \scriptsize $\pm$ 8.76,52.50 \scriptsize $\pm$ 1.07,44.30 \scriptsize $\pm$ 5.64,50.93 \scriptsize $\pm$ 1.73,44.87 \scriptsize $\pm$ 2.05,42.27 \scriptsize $\pm$ 4.79,39.87 \scriptsize $\pm$ 2.79,49.70 \scriptsize $\pm$ 4.71,41.83 \scriptsize $\pm$ 1.26,54.51 \scriptsize $\pm$ 1.44,73.16 \scriptsize $\pm$ 17.89,46.89 \scriptsize $\pm$ 1.62,most_uriel_en_20,afri-xnli,"[17, 23, 42, 66, 31]","[46.87107620696108, 47.68075762537424, 47.30600517714571, 48.403618544161674, 44.16666666666667]",-1,-1
47.07 \scriptsize $\pm$ 6.62,48.77 \scriptsize $\pm$ 1.43,47.13 \scriptsize $\pm$ 0.68,37.30 \scriptsize $\pm$ 5.53,50.13 \scriptsize $\pm$ 2.25,46.97 \scriptsize $\pm$ 7.09,47.93 \scriptsize $\pm$ 2.19,43.77 \scriptsize $\pm$ 3.81,48.73 \scriptsize $\pm$ 3.10,40.20 \scriptsize $\pm$ 0.83,40.90 \scriptsize $\pm$ 4.50,44.97 \scriptsize $\pm$ 2.52,48.43 \scriptsize $\pm$ 5.40,45.77 \scriptsize $\pm$ 1.27,54.96 \scriptsize $\pm$ 2.50,74.24 \scriptsize $\pm$ 15.60,47.95 \scriptsize $\pm$ 1.98,most_uriel_en_40,afri-xnli,"[17, 23, 42, 66, 31]","[48.89164834393711, 48.55688622754491, 49.16668420970559, 48.7155415731038, 44.43750000000001]",-1,-1
35.63 \scriptsize $\pm$ 0.14,40.10 \scriptsize $\pm$ 1.30,43.47 \scriptsize $\pm$ 1.41,42.10 \scriptsize $\pm$ 1.65,40.50 \scriptsize $\pm$ 2.20,33.77 \scriptsize $\pm$ 0.73,44.57 \scriptsize $\pm$ 0.89,56.30 \scriptsize $\pm$ 0.74,41.47 \scriptsize $\pm$ 1.09,43.03 \scriptsize $\pm$ 1.02,47.87 \scriptsize $\pm$ 0.18,38.77 \scriptsize $\pm$ 1.79,39.33 \scriptsize $\pm$ 0.88,39.93 \scriptsize $\pm$ 1.24,43.33 \scriptsize $\pm$ 1.48,40.80 \scriptsize $\pm$ 1.27,41.94 \scriptsize $\pm$ 0.42,most_uriel_en_5,afri-xnli,"[17, 23, 31, 42, 66]","[41.71875, 41.4375, 41.791666666666664, 42.30208333333333, 42.427083333333336]",-1,-1
35.17 \scriptsize $\pm$ nan,50.83 \scriptsize $\pm$ nan,45.67 \scriptsize $\pm$ nan,47.00 \scriptsize $\pm$ nan,47.33 \scriptsize $\pm$ nan,35.50 \scriptsize $\pm$ nan,48.50 \scriptsize $\pm$ nan,51.33 \scriptsize $\pm$ nan,49.50 \scriptsize $\pm$ nan,43.33 \scriptsize $\pm$ nan,47.33 \scriptsize $\pm$ nan,42.00 \scriptsize $\pm$ nan,41.00 \scriptsize $\pm$ nan,42.67 \scriptsize $\pm$ nan,49.33 \scriptsize $\pm$ nan,45.67 \scriptsize $\pm$ nan,45.14 \scriptsize $\pm$ nan,nllb_only-seed_31,afri-xnli,[31],[45.135416666666664],-1,-1
